"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","ATTENDANCE_RAW","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"1","13","22","14","18","67","26","57","45.6%","3","18","16.7%","6","11","54.5%","8","26","34","19","10","9","4","25","18","6","44","14","7","8-0(33-37)","19","20","21","21","81","18","45","40%","8","20","40%","21","28","75%","15","39","54","24","19","3","3","19","18","17","34","8","4","10-0(8-12)",1,"9.29","3526","青森","FE名古屋",TRUE,FALSE,"人数：1552人",0,0,0,0,0,0
"2","24","13","14","20","71","30","53","56.6%","2","21","9.5%","5","7","71.4%","9","24","33","15","12","10","1","16","11","9","48","12","11","8-0(19-10)","20","16","29","29","94","30","51","58.8%","7","18","38.9%","13","14","92.9%","7","34","41","27","13","6","0","11","17","23","50","14","9","9-0(71-94)",2,"9.30","3527","青森","FE名古屋",TRUE,FALSE,"人数：1424人",0,0,0,0,0,0
"3","15","10","22","26","73","18","47","38.3%","9","26","34.6%","10","15","66.7%","19","26","45","16","19","4","6","16","9","0","32","8","17","5-0(36-23)","25","31","28","24","108","25","43","58.1%","14","31","45.2%","16","21","76.2%","10","29","39","28","7","13","5","13","11","40","42","19","13","16-0(56-25)",3,"10.06","3552","青森","信州",FALSE,TRUE,"人数：1023人",0,0,0,0,0,0
"4","18","20","13","23","74","19","42","45.2%","10","23","43.5%","6","9","66.7%","7","24","31","14","15","6","0","19","9","2","34","13","8","5-0(20-18)","21","25","27","24","97","25","41","61%","10","24","41.7%","17","20","85%","8","28","36","27","12","10","1","14","6","25","46","15","11","9-0(39-27)",4,"10.07","3553","青森","信州",FALSE,TRUE,"人数：1191人",0,0,0,0,0,0
"5","29","22","18","21","90","24","42","57.1%","11","24","45.8%","9","14","64.3%","9","32","41","18","13","7","2","24","10","31","40","18","3","19-0(4-19)","9","20","27","24","80","22","45","48.9%","6","21","28.6%","18","27","66.7%","14","24","38","27","11","9","8","13","12","4","40","15","12","10-0(62-69)",5,"10.13","3564","青森","山形",FALSE,TRUE,"人数：1435人",0,0,0,0,0,0
"6","21","22","20","14","93","28","56","50%","9","31","29%","10","16","62.5%","16","30","46","21","14","10","4","27","15","17","48","18","17","13-0(15-31)","15","14","25","23","95","23","49","46.9%","8","22","36.4%","25","33","75.8%","11","35","46","20","19","5","3","19","9","5","30","22","4","16-0(75-72)",6,"10.14","3565","青森","山形",FALSE,TRUE,"人数：1581人",10,10,6,8,0,0
"7","22","18","26","23","89","17","27","63%","13","29","44.8%","16","28","57.1%","6","30","36","22","16","8","6","17","15","24","24","16","7","14-0(36-19)","15","15","17","23","70","23","56","41.1%","6","18","33.3%","6","10","60%","16","23","39","19","16","10","1","19","8","0","40","13","14","6-0(38-30)",7,"10.20","3580","青森","愛媛",TRUE,FALSE,"人数：1631人",0,0,0,0,0,0
"8","16","20","23","18","85","17","42","40.5%","10","33","30.3%","21","32","65.6%","16","36","52","26","11","9","3","20","16","6","32","11","13","11-0(77-74)","24","19","17","17","86","27","67","40.3%","6","23","26.1%","14","23","60.9%","27","34","61","19","13","5","5","23","4","11","42","12","25","9-0(3-11)",8,"10.21","3581","青森","愛媛",TRUE,FALSE,"人数：1482人",8,9,0,0,0,0
"9","18","20","11","15","64","20","39","51.3%","7","22","31.8%","3","3","100%","7","20","27","17","13","7","1","13","5","5","24","12","8","8-0(43-33)","29","22","24","17","92","29","41","70.7%","8","27","29.6%","10","17","58.8%","16","26","42","30","10","10","4","11","13","32","50","19","15","10-0(90-58)",9,"10.24","3598","青森","仙台",FALSE,TRUE,"人数：2465人",0,0,0,0,0,0
"10","15","13","21","27","76","21","40","52.5%","6","22","27.3%","16","19","84.2%","9","27","36","18","17","7","2","21","12","0","36","10","12","6-0(43-28)","28","19","22","28","97","25","51","49%","8","20","40%","23","30","76.7%","16","26","42","21","10","13","2","19","10","29","42","19","15","9-0(61-32)",10,"10.27","3623","青森","熊本",FALSE,TRUE,"人数：1562人",0,0,0,0,0,0
