"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","ATTENDANCE_RAW","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"11","25","19","24","30","98","33","46","71.7%","9","22","40.9%","5","5","100%","3","25","28","26","16","11","2","11","16","19","46","27","4","12-0(55-56)","30","15","21","19","85","31","55","56.4%","5","20","25%","8","9","88.9%","14","21","35","24","17","7","3","15","24","15","56","17","16","10-0(55-44)",11,"10.28","3624","青森","熊本",FALSE,TRUE,"人数：1829人",0,0,0,0,0,0
"12","21","13","19","26","79","28","46","60.9%","5","27","18.5%","8","14","57.1%","10","24","34","15","11","6","1","18","12","3","44","14","9","7-0(16-15)","22","21","18","26","87","33","51","64.7%","3","12","25%","12","24","50%","7","34","41","23","11","7","1","18","16","13","50","11","6","13-0(32-43)",12,"11.03","3625","青森","奈良",TRUE,FALSE,"人数：1432人",0,0,0,0,0,0
"13","30","11","19","9","69","18","43","41.9%","7","30","23.3%","12","16","75%","13","29","42","18","6","6","2","12","4","9","24","10","10","8-0(58-49)","22","15","14","15","66","21","41","51.2%","5","25","20%","9","11","81.8%","9","38","47","18","13","5","1","15","2","0","26","4","12","8-0(60-59)",13,"11.04","3626","青森","奈良",TRUE,FALSE,"人数：1553人",0,0,0,0,0,0
"14","22","17","16","20","75","24","40","60%","5","20","25%","12","16","75%","8","28","36","12","17","9","6","12","10","10","46","12","13","8-0(65-75)","16","21","16","16","69","26","57","45.6%","4","12","33.3%","5","8","62.5%","13","23","36","14","15","10","2","18","4","0","44","18","12","6-0(59-60)",14,"11.10","3653","青森","八王子",FALSE,TRUE,"人数：663人",0,0,0,0,0,0
"15","16","34","30","14","94","25","45","55.6%","11","23","47.8%","11","14","78.6%","11","28","39","17","15","5","5","23","16","22","40","17","12","8-0(37-47)","15","24","23","20","82","25","47","53.2%","6","20","30%","14","22","63.6%","11","22","33","20","12","9","2","17","4","10","36","14","11","10-0(28-18)",15,"11.11","3654","青森","八王子",FALSE,TRUE,"人数：1227人",0,0,0,0,0,0
"16","13","14","21","24","72","24","45","53.3%","3","11","27.3%","15","26","57.7%","7","28","35","16","15","10","2","24","17","3","44","20","0","15-0(66-64)","20","24","18","17","79","21","43","48.8%","8","20","40%","13","22","59.1%","10","28","38","16","14","8","4","16","13","19","38","15","13","11-0(59-40)",1,"9.29","3528","仙台","福島",FALSE,TRUE,"人数：2007人",0,0,0,0,0,0
"17","15","18","21","25","79","19","45","42.2%","5","10","50%","26","31","83.9%","8","27","35","20","11","3","4","17","3","12","30","15","8","8-0(59-70)","21","13","15","18","67","21","43","48.8%","4","16","25%","13","18","72.2%","7","23","30","17","13","6","0","22","8","9","36","12","4","6-0(30-21)",2,"9.30","3529","仙台","福島",FALSE,TRUE,"人数：2119人",0,0,0,0,0,0
"18","24","24","23","27","98","30","45","66.7%","6","13","46.2%","20","30","66.7%","10","28","38","24","9","6","2","18","11","28","52","15","10","9-0(13-3)","14","22","17","17","70","20","45","44.4%","7","17","41.2%","9","16","56.3%","11","16","27","18","11","3","4","25","4","0","20","9","13","6-0(37-25)",3,"10.05","3544","仙台","西宮",TRUE,FALSE,"人数：2517人",0,0,0,0,0,0
"19","14","21","17","22","74","24","40","60%","4","20","20%","14","20","70%","13","36","49","20","23","7","2","22","13","14","40","11","10","7-0(16-16)","16","17","12","28","73","20","45","44.4%","5","20","25%","18","23","78.3%","6","22","28","15","10","11","4","19","9","8","14","19","6","10-0(68-64)",4,"10.06","3545","仙台","西宮",TRUE,FALSE,"人数：2302人",0,0,0,0,0,0
"20","23","11","21","17","85","18","36","50%","11","28","39.3%","16","23","69.6%","11","28","39","19","17","5","1","17","6","9","32","14","11","11-0(58-53)","20","14","19","19","80","28","61","45.9%","5","12","41.7%","9","15","60%","13","25","38","15","13","8","3","22","12","6","42","12","13","6-0(17-16)",5,"10.13","3562","仙台","群馬",TRUE,FALSE,"人数：1956人",13,8,0,0,0,0
"21","14","19","11","4","48","14","39","35.9%","5","18","27.8%","5","7","71.4%","8","31","39","14","16","4","2","21","3","0","22","7","5","10-0(33-35)","19","16","23","12","70","20","51","39.2%","5","14","35.7%","15","24","62.5%","15","30","45","18","8","9","1","12","10","24","28","12","17","14-0(35-53)",6,"10.14","3563","仙台","群馬",TRUE,FALSE,"人数：2063人",0,0,0,0,0,0
"22","20","17","19","15","71","27","47","57.4%","3","17","17.6%","8","13","61.5%","12","27","39","20","11","8","4","19","7","5","46","13","15","8-0(51-54)","28","13","15","13","69","20","42","47.6%","7","17","41.2%","8","15","53.3%","7","24","31","17","10","5","2","17","5","10","28","10","4","6-0(28-18)",7,"10.20","3588","仙台","金沢",FALSE,TRUE,"人数：672人",0,0,0,0,0,0
"23","13","23","15","25","76","16","38","42.1%","7","23","30.4%","23","27","85.2%","9","27","36","22","7","5","2","16","7","13","26","10","7","8-0(15-18)","15","10","18","23","66","19","40","47.5%","5","19","26.3%","13","15","86.7%","9","28","37","18","12","4","0","25","2","7","26","4","3","8-0(33-36)",8,"10.21","3589","仙台","金沢",FALSE,TRUE,"人数：671人",0,0,0,0,0,0
"24","29","22","24","17","92","29","41","70.7%","8","27","29.6%","10","17","58.8%","16","26","42","30","10","10","4","11","13","32","50","19","15","10-0(90-58)","18","20","11","15","64","20","39","51.3%","7","22","31.8%","3","3","100%","7","20","27","17","13","7","1","13","5","5","24","12","8","8-0(43-33)",9,"10.24","3598","仙台","青森",TRUE,FALSE,"人数：2465人",0,0,0,0,0,0
"25","21","19","13","12","65","19","40","47.5%","6","21","28.6%","9","12","75%","8","36","44","19","15","3","1","14","12","23","36","10","8","17-0(10-33)","10","11","26","17","64","21","51","41.2%","5","23","21.7%","7","8","87.5%","10","29","39","13","6","6","3","13","2","0","34","17","11","10-0(38-44)",10,"10.27","3613","仙台","八王子",FALSE,TRUE,"人数：609人",0,0,0,0,0,0
"26","16","19","18","21","74","26","51","51%","4","13","30.8%","10","17","58.8%","14","21","35","22","8","6","3","16","10","0","44","11","11","7-0(34-31)","22","20","20","13","75","22","52","42.3%","8","16","50%","7","8","87.5%","16","23","39","17","12","6","2","18","10","15","38","10","13","9-0(31-19)",11,"10.28","3614","仙台","八王子",FALSE,TRUE,"人数：683人",0,0,0,0,0,0
"27","25","25","19","20","89","25","45","55.6%","6","21","28.6%","21","27","77.8%","13","28","41","19","17","6","3","18","10","13","44","16","18","10-0(61-72)","18","22","21","20","81","25","45","55.6%","6","21","28.6%","13","16","81.3%","7","23","30","23","13","8","3","25","19","3","38","22","6","7-0(23-25)",12,"11.02","3639","仙台","愛媛",FALSE,TRUE,"人数：1311人",0,0,0,0,0,0
"28","25","19","32","21","97","24","39","61.5%","10","21","47.6%","19","22","86.4%","6","27","33","23","7","4","2","20","19","28","38","10","6","9-0(64-91)","18","16","18","22","74","19","41","46.3%","6","19","31.6%","18","24","75%","12","21","33","17","11","4","2","21","4","2","24","9","11","7-0(74-95)",13,"11.03","3640","仙台","愛媛",FALSE,TRUE,"人数：1626人",0,0,0,0,0,0
"29","14","12","27","19","72","15","32","46.9%","10","26","38.5%","12","15","80%","9","32","41","23","13","2","3","14","2","12","26","10","15","13-0(48-36)","19","9","17","20","65","20","45","44.4%","6","18","33.3%","7","12","58.3%","6","23","29","22","7","10","1","15","6","12","32","11","6","8-0(0-8)",14,"11.09","3643","仙台","奈良",TRUE,FALSE,"人数：2257人",0,0,0,0,0,0
"30","24","15","17","30","86","31","53","58.5%","4","20","20%","12","17","70.6%","17","23","40","22","8","14","2","14","18","28","52","34","16","18-0(74-52)","19","14","19","8","60","19","34","55.9%","5","17","29.4%","7","12","58.3%","7","24","31","16","19","6","4","14","1","4","24","1","7","5-0(26-24)",15,"11.10","3644","仙台","奈良",TRUE,FALSE,"人数：3011人",0,0,0,0,0,0
"31","20","13","28","19","97","27","47","57.4%","9","20","45%","16","25","64%","13","31","44","29","14","3","1","15","10","8","24","10","14","9-0(70-63)","24","28","18","10","89","26","55","47.3%","8","27","29.6%","13","16","81.3%","16","22","38","22","7","9","5","24","4","22","44","19","19","10-0(36-25)",1,"9.29","3532","山形","群馬",FALSE,TRUE,"人数：1174人",17,9,0,0,0,0
"32","24","18","16","21","79","19","39","48.7%","12","26","46.2%","5","8","62.5%","10","27","37","23","14","4","0","21","15","12","30","9","11","7-0(27-37)","20","18","17","28","83","27","48","56.3%","4","18","22.2%","17","20","85%","8","25","33","13","9","11","1","15","7","8","42","15","2","9-0(40-42)",2,"9.30","3533","山形","群馬",FALSE,TRUE,"人数：810人",0,0,0,0,0,0
"33","13","15","17","8","53","17","56","30.4%","6","18","33.3%","1","2","50%","16","23","39","17","20","5","0","11","6","4","22","2","9","7-0(24-33)","21","17","29","28","95","34","53","64.2%","8","19","42.1%","3","7","42.9%","8","32","40","36","7","11","8","13","12","42","62","25","9","11-0(28-47)",3,"10.06","3546","山形","島根",TRUE,FALSE,"人数：1777人",0,0,0,0,0,0
"34","20","13","21","14","68","22","51","43.1%","5","16","31.3%","9","15","60%","15","24","39","13","14","4","4","15","12","10","36","16","11","9-0(46-49)","15","24","17","17","73","25","58","43.1%","4","13","30.8%","11","14","78.6%","17","28","45","20","15","8","4","19","6","12","40","13","19","10-0(25-29)",4,"10.07","3547","山形","島根",TRUE,FALSE,"人数：1861人",0,0,0,0,0,0
"35","9","20","27","24","80","22","45","48.9%","6","21","28.6%","18","27","66.7%","14","24","38","27","11","9","8","13","12","4","40","15","12","10-0(62-69)","29","22","18","21","90","24","42","57.1%","11","24","45.8%","9","14","64.3%","9","32","41","18","13","7","2","24","10","31","40","18","3","19-0(4-19)",5,"10.13","3564","山形","青森",TRUE,FALSE,"人数：1435人",0,0,0,0,0,0
"36","15","14","25","23","95","23","49","46.9%","8","22","36.4%","25","33","75.8%","11","35","46","20","19","5","3","19","9","5","30","22","4","16-0(75-72)","21","22","20","14","93","28","56","50%","9","31","29%","10","16","62.5%","16","30","46","21","14","10","4","27","15","17","48","18","17","13-0(15-31)",6,"10.14","3565","山形","青森",TRUE,FALSE,"人数：1581人",10,10,8,6,0,0
"37","15","19","22","17","73","20","48","41.7%","8","28","28.6%","9","11","81.8%","16","33","49","18","9","6","3","11","2","20","32","14","17","10-0(51-70)","9","13","21","12","55","16","40","40%","6","23","26.1%","5","9","55.6%","8","32","40","11","15","4","3","13","3","1","24","11","6","8-0(22-34)",7,"10.20","3584","山形","茨城",FALSE,TRUE,"人数：1510人",0,0,0,0,0,0
"38","15","25","19","26","85","20","42","47.6%","12","23","52.2%","9","16","56.3%","10","31","41","26","10","3","2","11","10","18","28","6","10","14-0(60-75)","16","19","21","22","78","26","52","50%","7","25","28%","5","7","71.4%","12","27","39","18","4","4","3","16","2","7","38","15","12","10-0(12-5)",8,"10.21","3585","山形","茨城",FALSE,TRUE,"人数：1842人",0,0,0,0,0,0
"39","24","12","15","23","74","17","35","48.6%","9","27","33.3%","13","18","72.2%","9","21","30","18","12","4","2","21","11","10","26","9","11","6-0(32-22)","19","21","25","26","91","22","46","47.8%","9","19","47.4%","20","23","87%","13","29","42","24","8","7","4","16","7","23","30","23","17","16-0(36-47)",9,"10.24","3599","山形","群馬",TRUE,FALSE,"人数：1669人",0,0,0,0,0,0
"40","10","21","27","20","78","16","34","47.1%","12","41","29.3%","10","14","71.4%","12","36","48","28","3","4","3","15","16","15","30","10","11","13-0(37-41)","19","18","19","9","65","17","41","41.5%","7","26","26.9%","10","12","83.3%","8","36","44","18","11","2","1","17","4","10","32","2","8","7-0(49-46)",10,"10.27","3621","山形","香川",FALSE,TRUE,"人数：628人",0,0,0,0,0,0
"41","27","16","28","11","82","16","28","57.1%","13","33","39.4%","11","13","84.6%","5","18","23","23","8","8","5","13","16","17","28","20","9","10-0(49-62)","21","21","12","34","88","23","43","53.5%","12","22","54.5%","6","6","100%","12","26","38","25","13","2","1","20","2","6","26","13","10","12-0(46-43)",11,"10.28","3622","山形","香川",FALSE,TRUE,"人数：621人",0,0,0,0,0,0
"42","19","12","18","26","75","27","51","52.9%","6","24","25%","3","7","42.9%","15","23","38","15","10","6","2","9","13","2","46","11","10","9-0(35-29)","32","16","19","26","93","18","33","54.5%","17","35","48.6%","6","10","60%","10","29","39","22","10","5","3","11","11","23","36","15","11","8-0(43-29)",12,"11.03","3629","山形","茨城",FALSE,TRUE,"人数：1423人",0,0,0,0,0,0
"43","14","21","17","20","72","21","45","46.7%","8","19","42.1%","6","15","40%","15","25","40","18","13","2","1","12","5","0","40","11","19","7-0(32-28)","28","9","24","25","86","22","34","64.7%","11","36","30.6%","9","10","90%","12","25","37","18","9","9","2","15","4","19","38","17","10","11-0(56-44)",13,"11.04","3630","山形","茨城",FALSE,TRUE,"人数：1264人",0,0,0,0,0,0
"44","28","22","25","24","99","25","37","67.6%","11","21","52.4%","16","22","72.7%","8","27","35","28","15","5","2","12","9","23","42","16","10","9-0(90-69)","26","21","16","15","78","24","41","58.5%","8","29","27.6%","6","6","100%","11","17","28","18","10","6","1","22","6","3","38","12","10","10-0(28-28)",14,"11.10","3645","山形","西宮",TRUE,FALSE,"人数：1274人",0,0,0,0,0,0
"45","20","6","15","31","72","20","48","41.7%","8","21","38.1%","8","13","61.5%","12","28","40","17","15","4","0","17","2","1","30","4","10","6-0(15-17)","23","23","22","31","99","28","43","65.1%","11","24","45.8%","10","17","58.8%","4","30","34","21","8","11","4","15","15","33","36","23","6","11-0(26-55)",15,"11.11","3646","山形","西宮",TRUE,FALSE,"人数：1393人",0,0,0,0,0,0
"46","20","24","18","17","79","21","43","48.8%","8","20","40%","13","22","59.1%","10","28","38","16","14","8","4","16","13","19","38","15","13","11-0(59-40)","13","14","21","24","72","24","45","53.3%","3","11","27.3%","15","26","57.7%","7","28","35","16","15","10","2","24","17","3","44","20","0","15-0(66-64)",1,"9.29","3528","福島","仙台",TRUE,FALSE,"人数：2007人",0,0,0,0,0,0
"47","21","13","15","18","67","21","43","48.8%","4","16","25%","13","18","72.2%","7","23","30","17","13","6","0","22","8","9","36","12","4","6-0(30-21)","15","18","21","25","79","19","45","42.2%","5","10","50%","26","31","83.9%","8","27","35","20","11","3","4","17","3","12","30","15","8","8-0(59-70)",2,"9.30","3529","福島","仙台",TRUE,FALSE,"人数：2119人",0,0,0,0,0,0
"48","13","14","22","11","60","21","44","47.7%","4","25","16%","6","9","66.7%","13","25","38","18","13","7","1","17","11","0","28","9","4","9-0(72-60)","18","17","26","12","73","21","40","52.5%","8","20","40%","7","15","46.7%","6","32","38","19","13","4","1","18","2","21","32","8","4","8-0(61-47)",3,"10.06","3558","福島","香川",FALSE,TRUE,"人数：1205人",0,0,0,0,0,0
"49","25","19","20","21","85","27","47","57.4%","7","19","36.8%","10","13","76.9%","12","29","41","20","13","5","2","26","16","25","48","19","14","14-0(23-44)","16","7","21","25","69","15","31","48.4%","5","21","23.8%","24","36","66.7%","7","19","26","14","12","4","0","16","12","2","24","14","6","7-0(12-10)",4,"10.07","3559","福島","香川",FALSE,TRUE,"人数：1003人",0,0,0,0,0,0
"50","20","12","25","24","81","21","50","42%","10","25","40%","9","12","75%","13","30","43","23","12","4","4","22","15","5","34","9","16","9-0(55-46)","21","16","24","22","83","32","63","50.8%","2","11","18.2%","13","17","76.5%","13","33","46","13","10","8","5","16","6","21","52","9","16","20-0(53-32)",5,"10.12","3568","福島","八王子",FALSE,TRUE,"人数：396人",0,0,0,0,0,0
"51","22","23","27","20","92","25","35","71.4%","7","22","31.8%","21","28","75%","11","27","38","28","14","4","1","22","8","16","46","10","13","9-0(14-15)","23","22","14","18","77","22","49","44.9%","4","14","28.6%","21","23","91.3%","11","15","26","22","9","4","0","27","0","10","36","14","10","12-0(12-2)",6,"10.13","3569","福島","八王子",FALSE,TRUE,"人数：522人",0,0,0,0,0,0
"52","22","19","13","23","77","23","45","51.1%","6","16","37.5%","13","17","76.5%","8","23","31","23","18","6","2","22","8","10","26","11","11","6-0(32-24)","19","17","19","27","82","22","45","48.9%","7","14","50%","17","26","65.4%","10","25","35","15","15","11","4","17","11","8","32","16","15","7-0(36-33)",7,"10.20","3582","福島","広島",TRUE,FALSE,"人数：903人",0,0,0,0,0,0
"53","14","20","17","22","73","26","46","56.5%","2","17","11.8%","15","21","71.4%","9","20","29","18","15","4","4","21","8","4","44","18","9","12-0(26-22)","20","18","27","19","84","27","55","49.1%","4","10","40%","18","22","81.8%","14","28","42","19","15","12","5","24","19","17","46","15","16","13-0(44-59)",8,"10.21","3583","福島","広島",TRUE,FALSE,"人数：1063人",0,0,0,0,0,0
"54","17","17","10","15","59","24","52","46.2%","1","10","10%","8","12","66.7%","12","26","38","15","13","4","1","17","7","9","36","8","10","10-0(24-29)","12","13","23","17","65","25","49","51%","2","15","13.3%","9","12","75%","11","27","38","17","11","5","2","18","8","9","46","14","10","10-0(24-19)",9,"10.24","3600","福島","茨城",FALSE,TRUE,"人数：1531人",0,0,0,0,0,0
"55","23","13","12","21","69","23","44","52.3%","3","20","15%","14","19","73.7%","10","30","40","19","16","11","6","13","8","19","40","13","7","12-0(21-2)","8","18","12","23","61","14","45","31.1%","8","17","47.1%","9","9","100%","10","28","38","19","17","9","1","19","8","0","18","14","1","9-0(36-26)",10,"10.27","3607","福島","西宮",TRUE,FALSE,"人数：614人",0,0,0,0,0,0
