TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
愛媛,31,岡本 将大,PG,13,7,267:26,20:34,46,3.5,16,50,32.0%,9,32,28.1%,5,13,38.5%,5,17,22,1.7,41,3.2,13,10,0,4,16,17,5,8600,2018,2
山形,34,ブレット・ビスピン,PF/C,4,4,99:33,24:53,46,11.5,21,46,45.7%,1,2,50.0%,3,5,60.0%,11,13,24,6.0,8,2.0,7,2,1,5,13,11,12,18177,2018,2
香川,7,堀川 竜一,SF,12,7,237:03,19:45,45,3.8,16,45,35.6%,9,29,31.0%,4,8,50.0%,5,17,22,1.8,14,1.2,12,6,1,2,28,10,4,8710,2018,2
仙台,12,泉 秀岳,SF,9,0,138:55,15:26,45,5.0,14,28,50.0%,5,14,35.7%,12,14,85.7%,4,12,16,1.8,4,0.4,4,6,0,0,10,10,6,9454,2018,2
奈良,1,樋口 真斗,SG,10,0,145:02,14:30,44,4.4,15,38,39.5%,6,16,37.5%,8,9,88.9%,2,9,11,1.1,15,1.5,17,5,0,2,15,13,3,9074,2018,2
島根,22,小阪 彰久,PF,13,1,145:51,11:13,44,3.4,18,33,54.5%,0,0,0.0%,8,8,100.0%,5,14,19,1.5,6,0.5,4,4,4,1,22,7,4,9283,2018,2
FE名古屋,11,杉本 慶,SG,11,8,229:16,20:50,43,3.9,19,49,38.8%,3,16,18.8%,2,3,66.7%,10,19,29,2.6,46,4.2,12,18,2,4,25,17,9,8520,2018,2
西宮,19,梁川 禎浩,SG,12,0,164:58,13:44,42,3.5,14,45,31.1%,10,28,35.7%,4,4,100.0%,6,10,16,1.3,14,1.2,6,8,1,0,17,7,4,8539,2018,2
信州,31,三ツ井 利也,SF/PF,13,0,180:36,13:53,40,3.1,12,43,27.9%,10,30,33.3%,6,9,66.7%,5,16,21,1.6,7,0.5,5,10,0,4,13,12,3,10842,2018,2
FE名古屋,42,伊藤 大和,PG/SG,11,4,131:16,11:56,39,3.5,14,39,35.9%,9,23,39.1%,2,3,66.7%,2,5,7,0.6,17,1.5,6,5,0,1,19,6,3,15759,2018,2
群馬,8,新川 敬大,SG/SF,13,1,187:02,14:23,39,3.0,14,39,35.9%,6,18,33.3%,5,7,71.4%,9,15,24,1.8,10,0.8,2,3,0,2,12,5,4,15824,2018,2
