TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
川崎,22,ニック ファジーカス,C,60,60,1818:51:00,30:18:00,1625,27.1,616,1128,54.60%,68,159,42.80%,325,399,81.50%,158,602,760,12.7,143,2.4,135,50,45,47,104,315,32
新潟,54,ダバンテ・ガードナー,C,54,51,1439:44:00,26:39:00,1184,21.9,430,777,55.30%,30,99,30.30%,294,377,78.00%,162,312,474,8.8,91,1.7,100,43,27,40,125,319,24
滋賀,32,ジュリアン　マブンガ,PF,60,49,1911:00:00,31:51:00,1172,19.5,397,888,44.70%,153,428,35.70%,225,314,71.70%,82,401,483,8.1,207,3.5,200,48,43,28,169,377,20
新潟,13,クリント・チャップマン,PF,60,54,1454:43:00,24:14:00,1135,18.9,433,963,45.00%,68,173,39.30%,201,280,71.80%,104,392,496,8.3,52,0.9,109,27,99,38,155,214,18
A東京,2,ディアンテ　ギャレット,SG,58,58,1626:46:00,28:02:00,1051,18.1,384,857,44.80%,77,246,31.30%,206,265,77.70%,62,211,273,4.7,228,3.9,119,82,6,19,95,285,17
栃木,32,ライアン ロシター,PF/C,59,59,1811:54:00,30:42:00,1018,17.3,441,870,50.70%,19,67,28.40%,117,263,44.50%,253,530,783,13.3,188,3.2,111,89,47,33,129,265,24
千葉,33,タイラー・ストーン,PF,54,2,1414:48:00,26:12:00,990,18.3,352,841,41.90%,130,408,31.90%,156,206,75.70%,63,335,398,7.4,124,2.3,120,56,22,22,109,210,17
名古屋D,33,ジェロウム・ティルマン,PF/C,56,17,1508:01:00,26:55:00,910,16.3,310,688,45.10%,113,303,37.30%,177,227,78.00%,96,315,411,7.3,48,0.9,72,56,18,28,110,232,17
大阪,55,ジョシュ ハレルソン,PF/C,60,56,1685:04:00,28:05:00,907,15.1,352,836,42.10%,117,331,35.30%,86,109,78.90%,179,522,701,11.7,93,1.6,104,52,115,17,132,98,21
三河,14,金丸　晃輔,SG/SF,54,52,1586:19:00,29:22:00,903,16.7,332,738,45.00%,100,235,42.60%,139,153,90.80%,21,89,110,2,39,0.7,62,26,8,17,31,132,11
