TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
京都,12,岡田　優介,SG,60,60,1410:17:00,23:30,485,8.1,148,388,38.10%,108,300,36.00%,81,96,84.40%,8,77,85,1.4,79,1.3,49,17,3,7,122,90,6
西宮,9,谷 直樹,SF,55,47,1515:58:00,27:33:00,485,8.8,172,482,35.70%,61,181,33.70%,80,91,87.90%,22,103,125,2.3,86,1.6,69,62,11,24,115,100,7
A東京,3,安藤 誓哉,PG,55,55,1347:38:00,24:30:00,482,8.8,174,398,43.70%,50,127,39.40%,84,107,78.50%,33,116,149,2.7,141,2.6,53,48,0,20,105,122,9
栃木,9,遠藤 祐亮,PG/SG,59,59,1431:38:00,24:15:00,482,8.2,187,504,37.10%,68,197,34.50%,40,50,80.00%,28,99,127,2.2,123,2.1,87,34,4,19,142,87,6
川崎,7,篠山 竜青,PG,56,51,1296:12:00,23:08,478,8.5,187,397,47.10%,39,108,36.10%,65,83,78.30%,33,78,111,2,205,3.7,89,49,4,14,106,109,9
栃木,13,セドリック・ボーズマン,SF,49,10,814:29:00,16:37,477,9.7,176,379,46.40%,21,77,27.30%,104,128,81.30%,32,120,152,3.1,74,1.5,41,37,6,28,101,109,10
大阪,8,エグゼビア・ギブソン,C,28,25,716:43:00,25:35:00,476,17,175,352,49.70%,10,47,21.30%,116,154,75.30%,51,183,234,8.4,76,2.7,70,35,18,7,59,135,20
大阪,34,キース・ベンソン,C,32,13,692:10:00,21:37,476,14.9,186,360,51.70%,7,21,33.30%,97,125,77.60%,75,169,244,7.6,41,1.3,56,17,44,16,89,103,18
名古屋D,8,張本 天傑,SF/PF,56,55,1180:15:00,21:04,474,8.5,154,356,43.30%,62,165,37.60%,104,147,70.70%,42,113,155,2.8,61,1.1,78,28,28,18,139,126,8
北海道,9,折茂 武彦,SG,60,3,1114:29:00,18:34,472,7.9,160,398,40.20%,49,135,36.30%,103,129,79.80%,12,57,69,1.2,80,1.3,54,24,1,10,68,104,5
琉球,51,古川 孝敏,SF,49,27,1101:15:00,22:28,470,9.6,162,418,38.80%,75,207,36.20%,71,85,83.50%,23,88,111,2.3,73,1.5,39,19,4,11,87,83,8
