TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
香川,11,チェハーレス・タプスコット,SF,59,57,1729:50:00,29:19:00,1149,19.5,419,929,45.10%,59,191,30.90%,252,352,71.60%,180,366,546,9.3,191,3.2,127,105,43,44,147,308,22
茨城,7,リック・リカート,C,58,38,1594:21:00,27:29:00,1081,18.6,452,889,50.80%,26,78,33.30%,151,206,73.30%,231,521,752,13,131,2.3,87,33,16,31,105,232,25
FE名古屋,21,ソロモン アラビ,C,58,57,1789:10:00,30:50:00,1051,18.1,419,787,53.20%,2,4,50.00%,211,277,76.20%,234,525,759,13.1,78,1.3,114,38,79,34,135,263,25
東京EX,13,ライアン　ステファン,C,56,38,1491:17:00,26:37:00,1002,17.9,373,772,48.30%,62,207,30.00%,194,274,70.80%,154,450,604,10.8,79,1.4,102,42,49,35,119,223,21
青森,33,カイル・バローン,PF/C,55,54,1293:52:00,23:31:00,983,17.9,384,777,49.40%,27,102,26.50%,188,294,63.90%,117,475,592,10.8,76,1.4,147,33,63,34,102,277,20
青森,2,アラン・ウィギンス,PF/C,60,6,1444:16:00,24:04:00,938,15.6,368,801,45.90%,46,143,32.20%,156,264,59.10%,162,390,552,9.2,75,1.3,154,26,36,42,141,284,16
群馬,1,トーマス　ケネディ,SF/PF,60,0,1218:04:00,20:18:00,869,14.5,295,709,41.60%,90,263,34.20%,189,230,82.20%,52,202,254,4.2,55,0.9,67,40,15,23,144,170,12
西宮,9,谷 直樹,SF,60,60,1870:04:00,31:10:00,801,13.4,299,748,40.00%,93,293,31.70%,110,137,80.30%,37,177,214,3.6,101,1.7,102,63,26,25,115,141,10
群馬,31,アブドゥーラ クウソー,PF/C,60,60,1365:17:00,22:45:00,780,13,282,548,51.50%,0,3,0.00%,216,318,67.90%,184,337,521,8.7,87,1.5,129,51,109,21,165,315,18
福島,0,セドリック　ボーズマン,SF,60,0,1272:54:00,21:12:00,779,13,280,624,44.90%,37,136,27.20%,182,249,73.10%,48,233,281,4.7,169,2.8,80,72,18,24,121,209,14
FE名古屋,22,福澤 晃平,PG,60,53,1612:44:00,26:52:00,775,12.9,283,680,41.60%,142,379,37.50%,67,86,77.90%,18,113,131,2.2,84,1.4,66,58,11,25,133,81,10
広島,21,コナー ラマート,SF/PF,60,55,1468:44:00,0:28,757,12.6,291,582,50.00%,51,134,38.10%,124,163,76.10%,149,360,509,8.5,68,1.1,57,44,77,29,146,158,18
奈良,32,アンディー　オガデ,PF,59,27,1217:30:00,20:38:00,749,12.7,315,603,52.20%,19,63,30.20%,100,144,69.40%,127,271,398,6.7,52,0.9,89,36,44,29,145,168,15
島根,0,ジョシュ・デービス,PF,57,1,1308:57:00,22:57:00,744,13.1,301,497,60.60%,0,1,0.00%,142,263,54.00%,209,433,642,11.3,102,1.8,105,64,77,24,119,256,21
東京Z,7,渡邊 翔太,PG/SG,60,46,1896:13:00,31:36:00,731,12.2,261,679,38.40%,69,220,31.40%,140,191,73.30%,38,152,190,3.2,184,3.1,128,47,18,35,166,236,10
熊本,2,古野　拓海,PG,60,60,2015:06:00,33:35:00,731,12.2,236,572,41.30%,99,286,34.60%,160,197,81.20%,73,195,268,4.5,303,5.1,172,129,13,20,180,250,15
