"","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","ATTENDANCE_RAW"
"1",1,"10.06","2986","北海道","大阪",TRUE,FALSE,"人数：4738人"
"2",2,"10.07","2987","北海道","大阪",TRUE,FALSE,"人数：3843人"
"3",3,"10.13","3008","北海道","SR渋谷",FALSE,TRUE,"人数：2749人"
"4",4,"10.14","3009","北海道","SR渋谷",FALSE,TRUE,"人数：2544人"
"5",5,"10.17","3022","北海道","千葉",TRUE,FALSE,"人数：4058人"
"6",6,"10.20","3033","北海道","栃木",FALSE,TRUE,"人数：2807人"
"7",7,"10.21","3034","北海道","栃木",FALSE,TRUE,"人数：2877人"
"8",8,"10.24","3050","北海道","千葉",FALSE,TRUE,"人数：4008人"
"9",9,"10.28","3058","北海道","栃木",TRUE,FALSE,"人数：6042人"
"10",10,"10.29","3059","北海道","栃木",TRUE,FALSE,"人数：3425人"
"11",11,"11.03","3086","北海道","三遠",FALSE,TRUE,"人数：1531人"
"12",12,"11.04","3087","北海道","三遠",FALSE,TRUE,"人数：2705人"
"13",13,"11.07","3094","北海道","SR渋谷",TRUE,FALSE,"人数：3008人"
"14",14,"11.10","3111","北海道","新潟",FALSE,TRUE,"人数：2325人"
"15",15,"11.11","3112","北海道","新潟",FALSE,TRUE,"人数：2351人"
"16",16,"11.17","3121","北海道","川崎",TRUE,FALSE,"人数：2084人"
"17",17,"11.18","3122","北海道","川崎",TRUE,FALSE,"人数：2464人"
"18",18,"11.23","3153","北海道","大阪",FALSE,TRUE,"人数：2222人"
"19",19,"11.24","3154","北海道","大阪",FALSE,TRUE,"人数：1872人"
"20",1,"10.06","2988","秋田","琉球",TRUE,FALSE,"人数：3873人"
"21",2,"10.07","2989","秋田","琉球",TRUE,FALSE,"人数：3788人"
"22",3,"10.11","3012","秋田","新潟",FALSE,TRUE,"人数：1909人"
"23",4,"10.12","3013","秋田","新潟",FALSE,TRUE,"人数：2053人"
"24",5,"10.17","3024","秋田","SR渋谷",FALSE,TRUE,"人数：1516人"
"25",6,"10.20","3031","秋田","福岡",TRUE,FALSE,"人数：2475人"
"26",7,"10.21","3032","秋田","福岡",TRUE,FALSE,"人数：3179人"
"27",8,"10.24","3049","秋田","栃木",TRUE,FALSE,"人数：3766人"
"28",9,"10.27","3064","秋田","富山",FALSE,TRUE,"人数：1829人"
"29",10,"10.28","3065","秋田","富山",FALSE,TRUE,"人数：1805人"
"30",11,"11.03","3076","秋田","名古屋D",TRUE,FALSE,"人数：2531人"
"31",12,"11.04","3077","秋田","名古屋D",TRUE,FALSE,"人数：2707人"
"32",13,"11.07","3096","秋田","A東京",FALSE,TRUE,"人数：1879人"
"33",14,"11.10","3113","秋田","名古屋D",FALSE,TRUE,"人数：2469人"
"34",15,"11.11","3114","秋田","名古屋D",FALSE,TRUE,"人数：2534人"
"35",16,"11.17","3123","秋田","新潟",TRUE,FALSE,"人数：2118人"
"36",17,"11.18","3124","秋田","新潟",TRUE,FALSE,"人数：2330人"
"37",18,"11.23","3139","秋田","三河",TRUE,FALSE,"人数：3250人"
"38",19,"11.24","3140","秋田","三河",TRUE,FALSE,"人数：2997人"
"39",1,"10.06","3002","栃木","福岡",FALSE,TRUE,"人数：3263人"
"40",2,"10.07","3003","栃木","福岡",FALSE,TRUE,"人数：3024人"
"41",3,"10.12","3004","栃木","富山",TRUE,FALSE,"人数：3796人"
"42",4,"10.13","3005","栃木","富山",TRUE,FALSE,"人数：4014人"
"43",5,"10.17","3023","栃木","A東京",FALSE,TRUE,"人数：2780人"
"44",6,"10.20","3033","栃木","北海道",TRUE,FALSE,"人数：2807人"
"45",7,"10.21","3034","栃木","北海道",TRUE,FALSE,"人数：2877人"
"46",8,"10.24","3049","栃木","秋田",FALSE,TRUE,"人数：3766人"
"47",9,"10.28","3058","栃木","北海道",FALSE,TRUE,"人数：6042人"
"48",10,"10.29","3059","栃木","北海道",FALSE,TRUE,"人数：3425人"
"49",11,"11.03","3078","栃木","滋賀",TRUE,FALSE,"人数：3647人"
"50",12,"11.04","3079","栃木","滋賀",TRUE,FALSE,"人数：3489人"
"51",13,"11.07","3095","栃木","千葉",TRUE,FALSE,"人数：3917人"
"52",14,"11.10","3103","栃木","福岡",TRUE,FALSE,"人数：4016人"
"53",15,"11.11","3104","栃木","福岡",TRUE,FALSE,"人数：3505人"
"54",16,"11.17","3131","栃木","富山",FALSE,TRUE,"人数：3800人"
"55",17,"11.18","3132","栃木","富山",FALSE,TRUE,"人数：4016人"
"56",18,"11.23","3143","栃木","川崎",FALSE,TRUE,"人数：4532人"
"57",19,"11.24","3144","栃木","川崎",FALSE,TRUE,"人数：4567人"
"58",1,"10.06","2992","SR渋谷","A東京",FALSE,TRUE,"人数：2787人"
"59",2,"10.07","2993","SR渋谷","A東京",FALSE,TRUE,"人数：3102人"
"60",3,"10.13","3008","SR渋谷","北海道",TRUE,FALSE,"人数：2749人"
"61",4,"10.14","3009","SR渋谷","北海道",TRUE,FALSE,"人数：2544人"
"62",5,"10.17","3024","SR渋谷","秋田",TRUE,FALSE,"人数：1516人"
"63",6,"10.20","3045","SR渋谷","三河",FALSE,TRUE,"人数：2137人"
"64",7,"10.21","3046","SR渋谷","三河",FALSE,TRUE,"人数：2604人"
"65",8,"10.24","3051","SR渋谷","A東京",TRUE,FALSE,"人数：2118人"
"66",9,"10.27","3060","SR渋谷","横浜",TRUE,FALSE,"人数：2253人"
"67",10,"10.28","3061","SR渋谷","横浜",TRUE,FALSE,"人数：2277人"
"68",11,"11.03","3080","SR渋谷","千葉",FALSE,TRUE,"人数：4831人"
"69",12,"11.04","3081","SR渋谷","千葉",FALSE,TRUE,"人数：5226人"
"70",13,"11.07","3094","SR渋谷","北海道",FALSE,TRUE,"人数：3008人"
"71",14,"11.10","3107","SR渋谷","三河",TRUE,FALSE,"人数：2003人"
"72",15,"11.11","3108","SR渋谷","三河",TRUE,FALSE,"人数：1952人"
"73",16,"11.17","3127","SR渋谷","京都",TRUE,FALSE,"人数：1984人"
"74",17,"11.18","3128","SR渋谷","京都",TRUE,FALSE,"人数：1956人"
"75",18,"11.23","3151","SR渋谷","滋賀",FALSE,TRUE,"人数：2094人"
"76",19,"11.24","3152","SR渋谷","滋賀",FALSE,TRUE,"人数：2022人"
"77",1,"10.06","2992","A東京","SR渋谷",TRUE,FALSE,"人数：2787人"
"78",2,"10.07","2993","A東京","SR渋谷",TRUE,FALSE,"人数：3102人"
"79",3,"10.13","3014","A東京","三河",FALSE,TRUE,"人数：2912人"
"80",4,"10.14","3015","A東京","三河",FALSE,TRUE,"人数：3002人"
"81",5,"10.17","3023","A東京","栃木",TRUE,FALSE,"人数：2780人"
"82",6,"10.20","3037","A東京","川崎",TRUE,FALSE,"人数：2542人"
"83",7,"10.21","3038","A東京","川崎",TRUE,FALSE,"人数：3074人"
"84",8,"10.24","3051","A東京","SR渋谷",FALSE,TRUE,"人数：2118人"
"85",9,"10.27","3070","A東京","京都",FALSE,TRUE,"人数：1792人"
"86",10,"10.28","3071","A東京","京都",FALSE,TRUE,"人数：1932人"
"87",11,"11.02","3082","A東京","琉球",TRUE,FALSE,"人数：2363人"
"88",12,"11.03","3083","A東京","琉球",TRUE,FALSE,"人数：2936人"
"89",13,"11.07","3096","A東京","秋田",TRUE,FALSE,"人数：1879人"
"90",14,"11.10","3109","A東京","川崎",FALSE,TRUE,"人数：4238人"
"91",15,"11.11","3110","A東京","川崎",FALSE,TRUE,"人数：4470人"
