"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"868",18,"","川満 寿史川満","SF","10:18",7,2,3,"66.7%",0,0,"-",3,3,"100.0%",1,1,2,0,2,1,0,0,1,2,0,7,"3583","福島"
"869",24,"〇","鈴木 大鈴木","PG/SG","30:36",4,1,7,"14.3%",1,4,"25.0%",1,2,"50.0%",1,2,3,5,1,3,0,1,1,1,0,7,"3583","福島"
"870",30,"〇","イバン・ラベネルラベネル","PF","34:54",27,11,19,"57.9%",0,1,"0.0%",5,6,"83.3%",5,7,12,4,3,1,0,1,4,7,2,32,"3583","福島"
"871",32,"","武藤 修平武藤","PF","23:16",4,1,5,"20.0%",0,2,"0.0%",2,4,"50.0%",1,0,1,3,0,1,1,2,3,3,0,4,"3583","福島"
"872",34,"","前田 陽介前田","PF","25:20",9,3,8,"37.5%",1,4,"25.0%",2,2,"100.0%",0,3,3,1,2,0,0,0,1,2,0,6,"3583","福島"
"873",43,"〇","クリス・ブレディブレディ","C","22:21",11,5,6,"83.3%",0,0,"-",1,2,"50.0%",0,3,3,2,0,0,1,0,5,2,0,15,"3583","福島"
"874",51,"","安慶 大樹安慶","PF","03:38",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,1,0,-1,"3583","福島"
"875",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,4,6,0,0,0,0,0,0,0,0,6,"3583","福島"
"876",NA,"","合計","","200:00",73,28,64,"43.8%",2,17,"11.8%",15,21,"71.4%",10,21,31,19,14,8,3,5,21,22,2,78,"3583","福島"
"877",0,"〇","ジャマリ・トレイラートレイラー","PF/C","25:52",16,5,9,"55.6%",0,0,"-",6,7,"85.7%",3,8,11,3,1,4,3,0,4,7,1,31,"3583","広島"
"878",1,"","村上 駿斗村上","PG/SG","09:21",2,1,3,"33.3%",0,0,"-",0,0,"-",1,0,1,0,1,0,0,0,1,1,0,0,"3583","広島"
"879",2,"〇","朝山 正悟朝山","SG/SF","18:56",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,1,3,2,0,0,4,0,0,-2,"3583","広島"
"880",3,"〇","岡本 飛竜岡本","PG","33:45",26,10,16,"62.5%",1,1,"100.0%",5,7,"71.4%",1,4,5,9,1,3,0,0,1,6,0,34,"3583","広島"
"881",5,"","佐藤 優樹佐藤","SG","03:46",0,0,1,"0.0%",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,2,0,0,0,"3583","広島"
"882",7,"","坂本 ジェイ坂本","PF/C","17:56",12,5,8,"62.5%",0,0,"-",2,2,"100.0%",1,3,4,0,3,0,0,1,3,1,2,10,"3583","広島"
"883",9,"","小澤 智将小澤","SG","23:44",2,1,8,"12.5%",0,4,"0.0%",0,0,"-",0,1,1,1,0,2,1,1,3,1,0,0,"3583","広島"
"884",10,"","坂井 レオ坂井","PF/C","04:32",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,0,0,1,0,0,1,0,0,0,"3583","広島"
"885",12,"〇","エリック・トンプソントンプソン","PF/C","30:57",15,5,9,"55.6%",0,0,"-",5,6,"83.3%",1,9,10,2,1,0,0,0,3,4,3,21,"3583","広島"
