"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"129",8,"","大宮 宏正大宮","PF","02:36",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3022","千葉"
"130",10,"","アキ・チェンバースチェンバース","SF","21:30",6,1,5,"20.0%",1,1,"100.0%",3,4,"75.0%",1,2,3,1,2,0,0,0,2,4,0,3,"3022","千葉"
"131",11,"","西村 文男西村","PG","07:29",0,0,1,"0.0%",0,0,"-",0,0,"-",0,1,1,4,1,0,0,0,0,2,0,3,"3022","千葉"
"132",15,"","藤永 佳昭藤永","PG","02:55",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",0,0,0,1,0,0,0,0,0,0,0,2,"3022","千葉"
"133",21,"〇","ギャビン・エドワーズエドワーズ","PF","21:07",12,4,8,"50.0%",1,2,"50.0%",3,7,"42.9%",0,8,8,5,3,0,0,0,2,7,1,14,"3022","千葉"
"134",27,"〇","石井 講祐石井","SG","22:54",6,2,3,"66.7%",2,3,"66.7%",0,0,"-",0,2,2,5,0,1,0,0,2,0,0,13,"3022","千葉"
"135",31,"","原 修太原","SG/SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3022","千葉"
"136",34,"〇","小野 龍猛小野","SF/PF","18:30",2,1,5,"20.0%",0,2,"0.0%",0,0,"-",0,2,2,1,2,0,0,0,2,0,0,-1,"3022","千葉"
"137",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,7,7,0,0,0,0,0,0,0,0,7,"3022","千葉"
"138",NA,"","合計","","200:00",93,34,63,"54.0%",8,20,"40.0%",17,26,"65.4%",10,36,46,30,15,7,3,0,16,26,3,126,"3022","千葉"
"139",7,"","野本 建吾野本","SF/PF","12:04",3,1,5,"20.0%",0,2,"0.0%",1,1,"100.0%",1,4,5,0,2,0,0,0,3,1,0,2,"2988","秋田"
"140",8,"","下山 大地下山","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2988","秋田"
"141",9,"〇","白濱 僚祐白濱","SF","19:25",2,1,4,"25.0%",0,1,"0.0%",0,0,"-",0,1,1,0,0,0,0,0,3,0,0,0,"2988","秋田"
"142",13,"","成田 正弘成田","PG","11:11",5,2,5,"40.0%",1,2,"50.0%",0,0,"-",1,0,1,2,0,2,0,0,2,0,0,7,"2988","秋田"
"143",15,"","下山 貴裕下山","PF","08:17",0,0,2,"0.0%",0,0,"-",0,0,"-",0,0,0,1,0,0,0,0,2,0,0,-1,"2988","秋田"
"144",17,"〇","中山 拓哉中山","PG/SG","32:16",10,3,11,"27.3%",0,1,"0.0%",4,7,"57.1%",3,2,5,8,2,5,0,1,3,10,0,15,"2988","秋田"
"145",24,"〇","保岡 龍斗保岡","SG","24:32",3,1,6,"16.7%",1,3,"33.3%",0,0,"-",0,1,1,1,0,0,0,0,3,1,0,0,"2988","秋田"
"146",33,"","俊野 達彦俊野","PG/SG","12:55",2,1,3,"33.3%",0,1,"0.0%",0,0,"-",0,0,0,1,1,0,0,1,2,0,0,0,"2988","秋田"
"147",34,"","小野寺 祥太小野寺","PG","22:50",18,7,9,"77.8%",1,1,"100.0%",3,4,"75.0%",1,0,1,2,3,1,0,0,4,4,0,16,"2988","秋田"
"148",40,"〇","ジャスティン・キーナンキーナン","PF/C","24:48",15,6,11,"54.5%",1,3,"33.3%",2,4,"50.0%",1,6,7,1,3,0,0,0,5,2,0,13,"2988","秋田"
"149",43,"〇","カディーム・コールビーコールビー","PF/C","28:31",9,3,6,"50.0%",0,0,"-",3,6,"50.0%",2,6,8,1,2,2,3,0,3,4,1,15,"2988","秋田"
"150",55,"","谷口 大智谷口","PF/C","03:11",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2988","秋田"
"151",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",1,3,4,0,1,0,0,0,0,0,0,3,"2988","秋田"
"152",NA,"","合計","","200:00",67,25,62,"40.3%",4,14,"28.6%",13,22,"59.1%",10,23,33,17,14,10,3,2,30,22,1,70,"2988","秋田"
"153",0,"","石崎 巧石崎","PG/SG","05:34",0,0,2,"0.0%",0,2,"0.0%",0,0,"-",0,0,0,0,1,1,0,0,1,0,0,-2,"2988","琉球"
"154",1,"","橋本 竜馬橋本","PG","15:34",5,1,1,"100.0%",1,1,"100.0%",2,2,"100.0%",2,0,2,2,2,0,0,0,3,2,0,7,"2988","琉球"
"155",3,"〇","並里 成並里","PG","25:53",10,4,7,"57.1%",0,1,"0.0%",2,3,"66.7%",1,4,5,13,5,2,0,1,3,6,0,21,"2988","琉球"
"156",6,"","金城　茂之金城","SG/SF","01:38",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2988","琉球"
"157",11,"","須田 侑太郎須田","SG/SF","17:28",4,2,5,"40.0%",0,2,"0.0%",0,2,"0.0%",1,1,2,0,0,0,0,0,2,1,0,1,"2988","琉球"
"158",12,"〇","ジェフ・エアーズエアーズ","PF","31:28",17,7,11,"63.6%",0,2,"0.0%",3,3,"100.0%",0,6,6,3,1,0,0,0,2,5,2,21,"2988","琉球"
"159",14,"〇","岸本 隆一岸本","PG/SG","27:00",11,4,7,"57.1%",3,5,"60.0%",0,2,"0.0%",0,6,6,4,3,0,0,0,2,3,0,13,"2988","琉球"
"160",21,"","寒竹 隼人寒竹","SF/PF","04:42",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,2,0,0,0,1,0,0,-3,"2988","琉球"
"161",24,"","田代 直希田代","SF","08:19",8,2,2,"100.0%",0,0,"-",4,4,"100.0%",0,0,0,1,0,0,0,0,2,2,0,9,"2988","琉球"
"162",40,"〇","ジョシュ・スコットスコット","C","33:11",20,7,7,"100.0%",0,0,"-",6,9,"66.7%",1,3,4,2,0,2,1,0,2,8,0,26,"2988","琉球"
"163",51,"〇","古川 孝敏古川","SF","29:13",9,3,9,"33.3%",1,3,"33.3%",2,4,"50.0%",0,4,4,0,1,2,1,2,4,3,0,7,"2988","琉球"
"164",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,4,4,0,0,0,0,0,0,0,0,4,"2988","琉球"
"165",NA,"","合計","","200:00",84,30,52,"57.7%",5,17,"29.4%",19,29,"65.5%",5,28,33,25,15,7,2,3,22,30,2,104,"2988","琉球"
"166",7,"","野本 建吾野本","SF/PF","09:34",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",3,2,5,1,2,0,0,1,1,2,0,2,"2989","秋田"
"167",8,"","下山 大地下山","SG","17:21",8,3,11,"27.3%",2,8,"25.0%",0,0,"-",0,1,1,0,0,0,0,0,1,0,0,1,"2989","秋田"
"168",9,"","白濱 僚祐白濱","SF","11:13",3,1,5,"20.0%",1,3,"33.3%",0,0,"-",0,1,1,0,1,0,0,1,2,2,0,-1,"2989","秋田"
"169",13,"","成田 正弘成田","PG","17:03",8,2,6,"33.3%",2,5,"40.0%",2,4,"50.0%",0,1,1,2,2,2,0,0,4,4,0,5,"2989","秋田"
"170",15,"","下山 貴裕下山","PF","06:12",0,0,0,"-",0,0,"-",0,0,"-",1,1,2,0,1,0,0,0,3,0,0,1,"2989","秋田"
"171",17,"〇","中山 拓哉中山","PG/SG","32:01",6,3,6,"50.0%",0,1,"0.0%",0,0,"-",2,1,3,11,5,1,0,0,2,0,0,13,"2989","秋田"
"172",24,"〇","保岡 龍斗保岡","SG","15:44",3,1,5,"20.0%",1,3,"33.3%",0,0,"-",1,2,3,1,0,0,0,1,3,0,0,3,"2989","秋田"
"173",33,"","俊野 達彦俊野","PG/SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2989","秋田"
"174",34,"〇","小野寺 祥太小野寺","PG","26:52",17,6,11,"54.5%",4,8,"50.0%",1,1,"100.0%",2,2,4,3,0,2,0,1,4,3,0,21,"2989","秋田"
"175",40,"〇","ジャスティン・キーナンキーナン","PF/C","26:06",15,5,8,"62.5%",1,2,"50.0%",4,6,"66.7%",1,6,7,1,3,0,1,0,3,7,0,16,"2989","秋田"
