"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"1",0,"〇","會田 圭佑會田","PG","33:12",2,1,7,"14.3%",0,1,"0.0%",0,0,"-",1,2,3,5,2,0,1,0,1,5,0,3,"3526","青森"
"2",2,"〇","カレン・ルッソルッソ","SF/PF","30:49",15,6,19,"31.6%",0,6,"0.0%",3,5,"60.0%",1,7,8,1,2,4,0,0,5,5,1,11,"3526","青森"
"3",3,"","鮫島 和人鮫島","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3526","青森"
"4",8,"","佐野 太一佐野","PG/SG","19:01",8,3,4,"75.0%",2,3,"66.7%",0,0,"-",0,3,3,5,0,0,0,0,4,1,0,15,"3526","青森"
"5",9,"","野里 惇貴野里","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3526","青森"
"6",18,"〇","菅 俊男菅","SF","28:27",11,4,11,"36.4%",0,0,"-",3,6,"50.0%",2,6,8,2,1,1,0,2,1,3,0,11,"3526","青森"
"7",21,"","橋本 龍弥橋本","PG","02:34",2,1,2,"50.0%",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,1,"3526","青森"
"8",22,"〇","門馬 圭二郎門馬","SG/SF","26:36",5,2,7,"28.6%",1,5,"20.0%",0,0,"-",0,3,3,1,1,0,0,0,3,4,0,3,"3526","青森"
"9",27,"〇","ユリアス・ユツィカスユツィカス","PF/C","34:43",12,6,17,"35.3%",0,2,"0.0%",0,0,"-",0,2,2,4,4,3,1,0,5,1,1,7,"3526","青森"
"10",32,"","臼井 弘樹臼井","PF","16:27",12,6,8,"75.0%",0,1,"0.0%",0,0,"-",0,2,2,0,0,0,2,1,3,0,0,14,"3526","青森"
"11",39,"","船山 裕士船山","PF","08:11",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,1,0,1,0,0,1,0,0,3,"3526","青森"
"12",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,0,4,0,0,0,0,0,1,0,0,4,"3526","青森"
"13",NA,"","合計","","200:00",67,29,75,"38.7%",3,18,"16.7%",6,11,"54.5%",8,26,34,19,10,9,4,3,25,19,2,72,"3526","青森"
"14",0,"〇","山本 エドワード山本","PG","22:53",8,3,7,"42.9%",2,3,"66.7%",0,0,"-",0,2,2,5,1,2,0,0,1,0,0,12,"3526","FE名古屋"
"15",1,"","宮崎 恭行宮崎","PG","22:04",3,1,4,"25.0%",1,1,"100.0%",0,0,"-",0,1,1,2,2,0,0,0,0,3,0,1,"3526","FE名古屋"
"16",5,"","伊藤 大伊藤","SG","11:29",0,0,3,"0.0%",0,2,"0.0%",0,0,"-",0,0,0,2,0,0,0,0,3,0,0,-1,"3526","FE名古屋"
"17",12,"〇","野崎 零也野崎","SG","24:00",6,1,6,"16.7%",1,4,"25.0%",3,3,"100.0%",0,5,5,7,0,0,0,0,0,2,0,13,"3526","FE名古屋"
"18",14,"","兒玉 貴通兒玉","PG","20:28",7,1,4,"25.0%",0,1,"0.0%",5,5,"100.0%",1,2,3,3,2,1,0,1,3,3,0,9,"3526","FE名古屋"
"19",16,"","坂本 健坂本","PF","15:44",6,2,4,"50.0%",0,0,"-",2,4,"50.0%",1,0,1,0,2,0,0,1,4,2,0,1,"3526","FE名古屋"
"20",24,"〇","ジョシュ・ホーキンソンホーキンソン","PF/C","33:06",34,10,16,"62.5%",4,7,"57.1%",10,13,"76.9%",3,10,13,1,1,0,3,1,2,11,0,41,"3526","FE名古屋"
"21",41,"〇","ギャレット・スタツスタツ","C","31:34",17,8,15,"53.3%",0,0,"-",1,3,"33.3%",4,14,18,4,5,0,0,0,2,3,3,25,"3526","FE名古屋"
"22",42,"〇","伊藤 大和伊藤","PG/SG","10:16",0,0,3,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,2,0,0,0,3,0,0,-5,"3526","FE名古屋"
"23",88,"","高村 成寿高村","PF","08:26",0,0,3,"0.0%",0,1,"0.0%",0,0,"-",0,1,1,0,1,0,0,1,1,0,0,-3,"3526","FE名古屋"
"24",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",6,4,10,0,3,0,0,0,0,0,0,7,"3526","FE名古屋"
"25",NA,"","合計","","200:00",81,26,65,"40.0%",8,20,"40.0%",21,28,"75.0%",15,39,54,24,19,3,3,4,19,24,3,100,"3526","FE名古屋"
"26",0,"〇","會田 圭佑會田","PG","33:00",9,4,10,"40.0%",1,3,"33.3%",0,0,"-",0,1,1,4,3,3,0,0,0,0,0,8,"3527","青森"
