"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
192,"高島 紳司","宇都宮",39,4,656.8,16.8,4.7,1.8,4.7,"37.7%",0.7,1.7,"44.6%",1.0,3.0,"33.9%",0.1,0.2,"50.0%",0.6,0.8,1.3,0.6,0.5,0.4,0.2,0.1,1.7,0.3,2.2,0.8,"SG"
193,"八村 阿蓮","群馬",56,9,973.2,17.4,4.7,1.6,4.1,"38.5%",0.9,2.2,"40.7%",0.7,1.9,"36.1%",0.8,1.0,"78.6%",0.5,1.1,1.5,0.5,0.6,0.3,0.2,0.2,1.9,1.2,3.1,-3.1,"SF"
194,"篠山 竜青","川崎",59,2,882.3,15.0,4.6,1.6,4.0,"39.7%",0.7,1.7,"42.9%",0.9,2.4,"37.4%",0.6,0.7,"84.6%",0.2,0.9,1.1,2.6,1.1,0.5,0.1,0.1,2.0,1.3,4.4,0.6,"PG"
195,"保岡 龍斗","秋田",57,11,872.4,15.3,4.6,1.6,4.5,"35.7%",1.1,2.5,"44.4%",0.5,2.0,"24.6%",0.9,1.2,"73.2%",0.5,1.4,2.0,1.1,1.0,0.5,0.2,0.2,1.7,1.4,3.8,-1.2,"SG/SF"
196,"コー・フリッピン","琉球",57,9,788.4,13.8,4.6,1.9,5.0,"38.4%",1.5,3.4,"44.0%",0.4,1.6,"26.9%",0.4,0.7,"51.3%",0.4,1.3,1.7,2.4,1.4,0.9,0.1,0.2,1.7,1.1,4.2,3.4,"PG/SG"
197,"盛實 海翔","SR渋谷",56,4,744.7,13.3,4.5,1.6,4.2,"38.0%",0.7,1.7,"44.1%",0.9,2.6,"34.0%",0.4,0.7,"65.8%",0.3,0.9,1.2,2.3,1.1,0.4,0.0,0.1,1.2,0.9,4.0,-0.8,"SG"
198,"伊藤 達哉","名古屋D",47,5,704.9,15.0,4.5,2.0,4.8,"40.7%",1.9,4.5,"41.8%",0.1,0.3,"23.1%",0.6,0.9,"65.0%",0.6,0.9,1.5,3.0,1.3,0.8,0.0,0.1,1.7,1.4,5.0,0.5,"PG"
199,"柏倉 哲平","滋賀",58,32,1116.4,19.2,4.5,1.6,4.4,"36.5%",0.6,1.5,"41.2%",1.0,2.9,"34.1%",0.3,0.3,"84.2%",0.3,0.9,1.2,1.7,0.9,0.6,0.0,0.2,1.7,0.7,3.0,-4.6,"PG"
200,"中村 太地","三河",60,6,898.5,15.0,4.5,1.7,4.8,"34.7%",0.9,2.1,"41.1%",0.8,2.7,"29.8%",0.4,0.5,"70.0%",0.2,1.0,1.2,1.4,0.6,0.4,0.1,0.2,1.6,0.8,2.7,1.0,"SG/SF"
201,"角野 亮伍","三河",57,29,735.7,12.9,4.4,1.8,4.7,"39.5%",1.4,3.2,"45.6%",0.4,1.5,"26.7%",0.3,0.5,"65.5%",0.2,1.1,1.3,0.7,0.7,0.4,0.1,0.2,0.7,0.6,2.8,-1.7,"SG/SF"
202,"岡田 泰希","仙台",60,9,761.1,12.7,4.4,1.6,4.6,"34.8%",0.6,1.4,"41.7%",1.0,3.2,"31.8%",0.2,0.3,"61.1%",0.2,0.4,0.6,0.9,0.8,0.3,0.0,0.1,1.4,0.5,1.3,-2.8,"PG/SG"
203,"野﨑 由之","富山",59,22,766.8,13.0,4.4,1.6,4.2,"39.2%",0.8,1.7,"48.0%",0.8,2.5,"33.3%",0.3,0.4,"85.7%",0.2,0.8,1.0,1.1,0.8,0.4,0.1,0.3,1.7,0.8,2.4,-1.9,"SG"
204,"高橋 耕陽","北海道",38,13,631.0,16.6,4.4,1.6,5.5,"29.7%",1.0,2.8,"35.2%",0.7,2.7,"24.0%",0.4,0.6,"73.9%",0.2,1.2,1.3,1.8,1.1,0.6,0.1,0.2,1.2,0.9,2.5,-2.9,"SG/SF"
205,"狩野 祐介","滋賀",54,13,884.8,16.4,4.4,1.4,3.9,"37.0%",0.2,0.6,"31.4%",1.2,3.2,"38.2%",0.3,0.4,"78.9%",0.4,0.6,1.0,0.6,0.2,0.3,0.0,0.2,0.7,0.6,3.1,-5.3,"SG"
206,"佐藤 卓磨","千葉J",51,30,965.7,18.9,4.3,1.5,4.1,"36.0%",0.7,1.5,"49.4%",0.7,2.6,"28.4%",0.6,1.0,"60.0%",0.9,1.6,2.5,0.8,0.5,0.5,0.2,0.2,2.1,1.0,3.5,6.4,"SG/SF"
207,"ファイ サンバ","富山",59,13,860.9,14.6,4.2,1.6,4.0,"40.2%",1.1,2.1,"50.4%",0.5,1.9,"28.8%",0.5,0.6,"76.3%",0.6,1.7,2.3,0.9,0.8,0.3,0.1,0.2,2.0,0.6,2.9,-3.4,"C"
208,"セドリック・シモンズ","三河",19,10,345.8,18.2,4.2,1.8,2.9,"61.8%",1.7,2.8,"61.1%",0.1,0.1,"100.0%",0.6,1.3,"45.8%",2.3,3.0,5.3,0.6,0.5,0.2,0.7,0.1,1.5,1.1,8.2,-3.8,""
209,"ドゥレイロン・バーンズ","信州",15,10,298.6,19.9,4.2,1.4,5.7,"24.7%",0.5,1.9,"28.6%",0.9,3.8,"22.8%",0.5,0.5,"100.0%",0.8,2.3,3.1,2.3,1.1,1.2,0.1,0.1,1.8,0.9,4.5,-1.0,"SF"
210,"相馬 卓弥","FE名古屋",53,6,695.1,13.1,4.2,1.4,3.8,"36.7%",0.7,2.0,"34.3%",0.7,1.8,"39.4%",0.7,0.8,"90.7%",0.4,0.9,1.3,0.8,0.6,0.3,0.0,0.2,1.2,0.7,2.8,-2.1,"SG"
211,"赤穂 雷太","横浜BC",55,35,1020.8,18.6,4.2,1.5,4.7,"32.7%",0.9,2.1,"42.7%",0.6,2.5,"24.3%",0.5,0.7,"65.0%",0.9,1.3,2.2,1.0,0.6,0.5,0.3,0.1,2.3,0.9,2.5,3.3,"SG/SF"
212,"杉浦 佑成","滋賀",52,34,894.4,17.2,4.0,1.4,3.7,"37.4%",0.5,1.1,"41.4%",0.9,2.5,"35.6%",0.4,0.6,"70.0%",0.7,1.3,1.9,0.7,0.5,0.4,0.1,0.1,1.6,0.7,3.2,-6.1,"SF"
213,"片岡 大晴","仙台",53,4,548.1,10.3,4.0,1.4,3.3,"42.9%",0.7,1.2,"56.9%",0.7,2.1,"34.5%",0.4,0.5,"82.1%",0.2,0.4,0.6,0.3,0.3,0.3,0.0,0.1,0.7,0.6,2.6,-0.6,"SG"
214,"津屋 一球","SR渋谷",59,29,926.6,15.7,3.9,1.4,3.8,"36.2%",0.6,1.4,"39.8%",0.8,2.4,"34.0%",0.4,0.6,"59.5%",0.3,0.7,1.0,1.1,0.8,0.4,0.1,0.1,1.9,0.6,1.6,-2.1,"SG"
215,"菅原 暉","群馬",58,14,857.3,14.8,3.9,1.5,4.4,"33.9%",0.9,2.2,"39.5%",0.6,2.2,"28.0%",0.3,0.5,"61.3%",0.2,0.6,0.8,2.5,0.9,0.4,0.0,0.2,1.8,0.8,2.5,-2.3,"PG"
216,"山内 盛久","三遠",57,24,1097.8,19.3,3.9,1.5,4.3,"34.2%",0.7,2.0,"33.0%",0.8,2.2,"35.2%",0.2,0.3,"61.1%",0.6,1.4,2.0,3.9,1.2,1.1,0.1,0.2,2.0,0.9,5.7,-0.1,"PG"
217,"松井 啓十郎","富山",43,21,536.6,12.5,3.9,1.4,3.5,"39.6%",0.5,1.2,"42.0%",0.9,2.3,"38.4%",0.3,0.4,"68.8%",0.2,0.5,0.7,0.7,0.6,0.3,0.0,0.1,0.8,0.6,2.6,-4.7,"SG"
218,"加藤 寿一","仙台",46,29,717.8,15.6,3.8,1.3,3.9,"33.1%",0.5,1.3,"36.2%",0.8,2.6,"31.7%",0.4,0.5,"86.4%",0.2,1.1,1.3,0.8,0.4,0.5,0.1,0.0,1.7,0.5,2.3,-0.2,"SF"
219,"阿部 諒","島根",60,14,1011.3,16.9,3.8,1.3,3.8,"33.8%",0.4,1.0,"43.3%",0.8,2.8,"30.3%",0.4,0.6,"62.2%",0.6,1.6,2.2,1.1,0.4,0.9,0.2,0.1,1.8,0.6,3.7,4.8,"SG"
220,"大庭 岳輝","横浜BC",36,0,406.2,11.3,3.7,1.3,4.2,"29.6%",0.1,0.6,"20.0%",1.1,3.7,"31.1%",0.0,0.1,"50.0%",0.1,0.4,0.5,0.7,0.1,0.3,0.0,0.1,0.6,0.2,1.7,1.8,"SG"
221,"白濱 僚祐","島根",48,37,997.1,20.8,3.7,1.4,3.1,"45.0%",0.7,1.3,"55.7%",0.7,1.8,"37.5%",0.2,0.3,"53.3%",0.8,1.3,2.1,1.0,0.6,0.6,0.1,0.1,2.7,0.5,2.9,2.7,"SG/SF"
222,"関野 剛平","SR渋谷",59,30,925.4,15.7,3.5,1.3,3.5,"36.4%",0.6,1.4,"46.9%",0.6,2.1,"29.6%",0.4,0.6,"64.7%",0.3,1.0,1.3,1.1,0.4,0.5,0.0,0.1,1.7,0.9,2.6,-0.9,"SG/SF"
223,"渡邉 裕規","宇都宮",51,0,491.2,9.6,3.5,1.1,3.5,"31.8%",0.3,1.0,"34.0%",0.8,2.5,"31.0%",0.5,0.7,"80.0%",0.1,0.5,0.7,1.2,0.6,0.3,0.0,0.0,1.1,0.6,2.1,0.5,"PG"
224,"川真田 紘也","滋賀",59,9,730.4,12.4,3.4,1.1,2.2,"51.9%",1.1,2.1,"52.4%",0.0,0.1,"40.0%",1.1,1.7,"67.3%",0.9,1.1,2.0,0.3,0.5,0.3,0.6,0.3,1.8,1.4,3.8,-3.7,"C"
225,"水戸 健史","富山",45,7,730.1,16.2,3.3,1.2,2.8,"40.9%",0.9,1.9,"48.8%",0.2,0.9,"24.4%",0.7,0.9,"84.6%",0.3,0.9,1.1,1.7,0.8,0.6,0.0,0.2,1.8,0.8,3.0,-0.4,"SG"
226,"水野 幹太","京都",57,24,871.4,15.3,3.3,1.3,3.1,"40.7%",0.9,2.0,"46.5%",0.3,1.1,"30.2%",0.4,0.7,"57.9%",0.4,0.8,1.2,1.8,1.1,0.5,0.1,0.2,1.5,1.0,2.9,-0.3,"PG/SG"
227,"長谷川 技","川崎",60,55,911.8,15.2,3.3,1.1,2.5,"43.0%",0.2,0.4,"56.5%",0.9,2.1,"40.6%",0.2,0.3,"76.5%",0.3,1.1,1.4,0.8,0.2,0.5,0.0,0.1,1.3,0.4,3.3,2.4,"SF"
228,"松下 裕汰","北海道",58,21,1017.0,17.5,3.2,1.2,3.6,"32.9%",0.5,1.2,"38.0%",0.7,2.4,"30.2%",0.1,0.3,"41.2%",0.6,0.8,1.3,1.0,0.6,0.8,0.0,0.2,2.6,0.4,0.8,-3.0,"PG/SG"
229,"多田 武史","秋田",27,2,200.2,7.4,3.2,1.2,3.1,"37.6%",0.4,0.7,"61.1%",0.8,2.5,"31.3%",0.1,0.1,"100.0%",0.1,0.5,0.6,0.2,0.2,0.3,0.0,0.2,0.4,0.2,1.7,0.3,"SG"
230,"熊谷 尚也","川崎",57,11,694.1,12.2,3.2,1.3,3.2,"39.6%",0.9,1.7,"56.3%",0.3,1.5,"20.9%",0.4,0.5,"71.4%",0.4,1.0,1.4,0.5,0.6,0.4,0.2,0.1,1.3,0.5,2.0,-0.5,"SF"
231,"青木 龍史","京都",53,2,523.9,9.9,3.2,1.0,2.8,"37.2%",0.4,0.7,"51.3%",0.7,2.1,"32.1%",0.4,0.4,"95.7%",0.4,0.5,0.9,0.4,0.5,0.3,0.0,0.2,0.9,0.6,1.9,-2.2,"PG/SG"
232,"上田 隼輔","富山",57,18,694.8,12.2,3.1,1.2,2.9,"42.4%",1.0,2.1,"48.3%",0.2,0.8,"26.7%",0.5,0.8,"61.4%",0.5,0.7,1.1,0.8,0.4,0.6,0.1,0.2,1.8,0.7,2.1,-1.5,"SF"
233,"パク ジェヒョン","新潟",17,6,195.1,11.5,3.1,1.1,2.8,"38.3%",0.6,1.3,"45.5%",0.5,1.5,"32.0%",0.5,0.9,"60.0%",0.2,0.8,1.0,2.2,1.1,0.3,0.0,0.1,1.9,1.1,2.5,0.2,"PG"
234,"吉井 裕鷹","A東京",52,22,817.8,15.7,3.1,1.2,3.3,"35.3%",0.6,1.5,"43.4%",0.5,1.8,"28.7%",0.3,0.5,"57.7%",0.7,1.0,1.7,0.6,0.5,0.4,0.1,0.1,2.3,0.8,1.4,0.6,"SF"
235,"竹内 譲次","大阪",60,5,725.0,12.1,3.1,1.1,2.6,"39.9%",0.8,1.4,"56.8%",0.3,1.3,"22.1%",0.7,1.1,"65.1%",1.0,2.1,3.1,0.8,0.6,0.3,0.3,0.2,1.4,0.8,4.3,-2.7,"C/PF"
236,"荒谷 裕秀","宇都宮",45,0,508.1,11.3,3.1,1.2,3.6,"32.5%",0.8,2.0,"40.4%",0.4,1.6,"23.0%",0.3,0.5,"71.4%",0.4,0.9,1.3,1.3,1.0,0.3,0.1,0.2,1.4,0.5,1.3,-2.1,"SF"
237,"中村 拓人","広島",40,0,473.3,11.8,3.0,1.4,3.4,"41.0%",1.2,2.3,"51.1%",0.2,1.1,"20.5%",0.1,0.2,"33.3%",0.2,0.5,0.7,1.3,0.8,0.5,0.0,0.2,1.4,0.4,1.5,1.1,"PG"
238,"喜多川 修平","宇都宮",51,6,487.0,9.5,3.0,1.1,2.7,"41.7%",0.6,1.3,"49.3%",0.5,1.4,"34.7%",0.3,0.3,"92.9%",0.2,0.4,0.6,0.5,0.2,0.4,0.0,0.1,1.2,0.3,1.8,1.7,"SF"
239,"西村 文男","千葉J",52,0,480.7,9.2,3.0,1.0,2.4,"42.4%",0.3,0.7,"48.6%",0.7,1.7,"39.8%",0.3,0.4,"84.2%",0.1,0.3,0.4,1.4,0.5,0.4,0.0,0.1,1.2,0.6,2.6,4.6,"PG"
240,"上澤 俊喜","広島",49,0,411.7,8.4,2.9,1.0,2.3,"42.1%",0.3,0.6,"46.7%",0.7,1.7,"40.5%",0.3,0.4,"77.8%",0.1,0.4,0.6,0.9,0.4,0.2,0.0,0.1,0.9,0.3,2.1,1.0,"PG"
241,"マシュー・アキノ","信州",48,3,485.3,10.1,2.9,1.0,2.8,"37.1%",0.3,0.6,"41.4%",0.8,2.1,"35.9%",0.1,0.2,"75.0%",0.4,1.1,1.4,0.2,0.4,0.2,0.2,0.1,1.5,0.3,1.4,-2.2,"PF"
242,"細谷 将司","三河",59,16,655.8,11.1,2.9,1.1,2.6,"42.1%",0.5,0.9,"54.5%",0.6,1.6,"35.1%",0.2,0.3,"68.8%",0.1,0.8,0.9,1.1,0.4,0.2,0.0,0.1,1.1,0.6,2.7,-1.8,"PG"
243,"田中 成也","仙台",38,28,713.4,18.8,2.9,1.0,2.8,"36.8%",0.4,0.9,"48.5%",0.6,1.9,"31.5%",0.3,0.4,"66.7%",0.5,0.9,1.4,0.6,0.6,0.6,0.1,0.2,2.1,0.6,1.4,-4.0,"SG"
244,"森山 修斗","滋賀",43,10,521.4,12.1,2.9,1.0,2.6,"38.9%",0.3,0.7,"41.4%",0.7,2.0,"38.1%",0.1,0.1,"100.0%",0.5,0.4,0.9,0.4,0.3,0.3,0.1,0.1,1.8,0.3,1.3,-1.4,"SF"
245,"中務 敏宏","名古屋D",34,0,303.4,8.9,2.9,1.0,2.3,"43.6%",0.2,0.5,"47.1%",0.8,1.8,"42.6%",0.1,0.2,"71.4%",0.3,0.4,0.7,0.3,0.1,0.4,0.0,0.0,0.8,0.2,2.2,1.9,"SG/SF"
246,"小川 麻斗","千葉J",35,2,395.0,11.3,2.9,1.0,2.7,"38.3%",0.4,1.1,"38.5%",0.6,1.6,"38.2%",0.3,0.5,"56.3%",0.3,0.5,0.8,1.2,0.5,0.5,0.1,0.0,1.5,0.5,2.1,2.6,"PG"
247,"渡部 琉","仙台",22,1,237.5,10.8,2.9,1.0,3.6,"28.8%",0.5,1.5,"34.4%",0.5,2.2,"25.0%",0.3,0.4,"66.7%",0.4,0.5,0.8,0.5,0.6,0.3,0.0,0.1,1.2,0.5,0.3,-4.0,"SF"
248,"竹内 公輔","宇都宮",56,0,764.9,13.7,2.9,1.1,2.3,"45.8%",0.9,1.8,"51.5%",0.1,0.5,"25.0%",0.6,0.8,"81.4%",1.1,2.4,3.6,0.3,0.4,0.3,0.2,0.1,1.0,0.7,5.0,-0.8,"C/PF"
249,"谷口 大智","島根",58,17,689.2,11.9,2.9,1.0,2.9,"34.7%",0.3,0.5,"51.6%",0.7,2.4,"30.9%",0.1,0.2,"60.0%",0.2,0.8,1.0,0.4,0.3,0.3,0.2,0.1,1.8,0.3,0.8,0.4,"C/PF"
250,"綿貫 瞬","新潟",30,1,410.6,13.7,2.8,1.1,2.7,"41.3%",0.8,1.9,"42.9%",0.3,0.8,"37.5%",0.3,0.4,"90.9%",0.8,0.8,1.6,2.1,0.6,0.4,0.0,0.1,1.2,0.5,3.9,-2.7,"PG"
251,"ハーパー ジャン ジュニア","群馬",5,0,39.6,7.9,2.8,1.0,2.2,"45.5%",0.6,0.6,"100.0%",0.4,1.6,"25.0%",0.4,0.4,"100.0%",0.0,1.0,1.0,1.2,1.2,0.4,0.0,0.0,0.6,0.6,3.0,-0.4,""
252,"飯尾 文哉","大阪",26,8,248.2,9.5,2.8,1.2,3.3,"36.5%",0.8,1.3,"61.8%",0.4,2.0,"19.6%",0.0,0.0,"0.0%",0.1,0.4,0.5,0.8,0.2,0.2,0.1,0.0,1.2,0.2,1.1,-2.7,"SG"
253,"伊藤 駿","秋田",49,0,700.7,14.3,2.8,1.0,2.8,"37.5%",0.8,2.1,"37.5%",0.2,0.7,"37.5%",0.4,0.6,"77.8%",0.5,1.0,1.5,2.2,0.8,0.4,0.0,0.1,1.2,1.0,3.9,-1.8,"PG"
254,"小澤 智将","京都",53,13,726.5,13.7,2.7,0.9,2.7,"35.0%",0.2,0.5,"36.0%",0.8,2.2,"34.7%",0.1,0.2,"44.4%",0.3,0.6,0.9,0.5,0.4,0.3,0.0,0.1,1.5,0.4,1.1,-3.5,"SG"
255,"小野寺 祥太","琉球",58,39,835.2,14.4,2.7,1.0,2.7,"36.7%",0.4,1.0,"44.8%",0.6,1.7,"32.0%",0.2,0.3,"64.7%",0.3,0.6,0.9,0.8,0.4,0.3,0.1,0.1,1.6,0.6,1.4,3.1,"PG/SG"
256,"佐土原 遼","広島",48,22,534.7,11.1,2.7,1.1,2.4,"46.9%",0.9,1.5,"59.5%",0.2,0.8,"23.1%",0.3,0.4,"80.0%",0.4,0.8,1.2,0.5,0.5,0.3,0.1,0.1,1.3,0.5,2.2,1.8,"SF/PF"
257,"牧 隼利","琉球",44,8,636.0,14.5,2.7,1.0,3.0,"34.3%",0.6,1.2,"49.0%",0.5,1.9,"25.3%",0.2,0.3,"63.6%",0.2,0.6,0.8,1.3,0.9,0.1,0.0,0.1,1.2,0.3,1.0,1.0,"PG/SG"
258,"生原 秀将","信州",19,7,292.4,15.4,2.7,1.0,3.2,"31.1%",0.6,1.7,"37.5%",0.4,1.5,"24.1%",0.3,0.4,"75.0%",0.7,0.8,1.5,1.1,0.8,0.5,0.1,0.1,2.1,1.1,1.6,-1.8,"PG"
259,"カール・タマヨ","琉球",15,4,123.4,8.2,2.7,1.0,3.9,"25.9%",0.5,2.1,"25.8%",0.5,1.8,"25.9%",0.2,0.7,"27.3%",0.6,0.7,1.3,0.3,0.7,0.3,0.1,0.3,1.4,0.8,-0.3,-0.6,"SF/PF"
260,"二上 耀","千葉J",20,0,215.3,10.8,2.7,1.0,2.3,"43.5%",0.7,1.4,"50.0%",0.3,0.9,"33.3%",0.4,0.4,"100.0%",0.7,1.1,1.8,0.6,0.5,0.1,0.1,0.3,1.0,0.9,3.0,1.1,"SG"
261,"五十嵐 圭","群馬",33,0,261.2,7.9,2.6,0.9,2.4,"37.5%",0.3,0.6,"52.4%",0.6,1.8,"32.2%",0.2,0.4,"61.5%",0.1,0.5,0.5,1.1,0.6,0.3,0.0,0.1,0.9,0.4,1.7,-0.4,"PG"
262,"坂本 聖芽","名古屋D",52,15,689.7,13.3,2.6,1.1,2.4,"44.0%",0.9,2.0,"46.6%",0.1,0.4,"31.8%",0.4,0.7,"51.4%",0.4,0.8,1.2,1.4,0.9,0.5,0.0,0.2,1.0,0.8,2.8,1.3,"PG/SG"
263,"ヤン ジェミン","宇都宮",37,1,328.8,8.9,2.6,0.9,2.8,"31.1%",0.6,1.7,"34.9%",0.3,1.1,"25.0%",0.6,0.8,"79.3%",0.4,1.0,1.4,0.6,0.4,0.3,0.0,0.1,1.3,0.8,1.9,-1.2,"SF"
264,"チリジ・ネパウェ","京都",5,1,65.9,13.2,2.6,1.0,1.8,"55.6%",1.0,1.8,"55.6%",0.0,0.0,"0.0%",0.6,1.8,"33.3%",0.6,2.4,3.0,0.2,1.0,0.2,0.6,0.2,1.4,1.4,3.4,-3.2,""
265,"三ツ井 利也","信州",58,17,973.2,16.8,2.6,0.9,2.5,"36.1%",0.4,0.8,"53.3%",0.5,1.8,"28.4%",0.2,0.4,"58.3%",0.4,1.5,1.8,0.6,0.3,0.5,0.2,0.1,1.8,0.6,2.2,2.9,"SF"
266,"エリエット・ドンリー","大阪",47,2,412.0,8.8,2.5,1.0,2.4,"43.8%",0.9,1.5,"57.7%",0.2,0.9,"19.5%",0.2,0.4,"52.6%",0.6,0.9,1.5,0.6,0.4,0.2,0.2,0.1,0.8,0.5,2.4,-0.9,"SF/PF"
267,"寒竹 隼人","仙台",53,7,438.4,8.3,2.5,0.8,2.4,"33.3%",0.1,0.1,"71.4%",0.7,2.3,"31.1%",0.1,0.2,"53.8%",0.1,0.5,0.5,0.2,0.2,0.2,0.2,0.0,0.9,0.2,0.8,-0.6,"SF"
268,"サイモン 拓海","信州",49,1,390.0,8.0,2.5,0.8,3.0,"26.8%",0.2,0.6,"27.6%",0.7,2.4,"26.7%",0.2,0.2,"88.9%",0.4,1.0,1.3,0.2,0.2,0.1,0.0,0.1,0.6,0.2,1.3,-1.8,"SG"
269,"田代 直希","琉球",60,11,730.3,12.2,2.4,0.8,2.6,"31.4%",0.4,1.0,"39.3%",0.4,1.5,"26.1%",0.4,0.5,"81.3%",0.4,0.6,1.0,1.4,0.9,0.2,0.0,0.1,1.2,0.6,1.7,1.5,"SF"
270,"藤永 佳昭","A東京",36,10,534.6,14.9,2.4,0.9,3.1,"29.1%",0.5,1.6,"33.3%",0.4,1.5,"24.5%",0.3,0.4,"76.9%",0.3,0.6,0.9,1.7,0.8,0.6,0.0,0.1,2.4,0.9,1.0,4.2,"PG"
271,"荒川 颯","北海道",22,2,144.4,6.6,2.4,0.9,2.3,"37.3%",0.5,1.2,"44.4%",0.3,1.1,"29.2%",0.4,0.4,"88.9%",0.1,0.5,0.6,0.7,0.7,0.2,0.0,0.0,1.1,0.5,1.1,-1.9,"PG/SG"
272,"渡邉 飛勇","琉球",20,0,124.7,6.2,2.4,1.0,1.8,"54.3%",1.0,1.7,"57.6%",0.0,0.1,"0.0%",0.5,1.0,"52.6%",1.3,1.1,2.4,0.4,0.2,0.1,0.3,0.2,0.8,0.6,3.7,0.3,"PF"
273,"橋本 晃佑","三河",38,7,420.8,11.1,2.4,0.8,2.6,"32.0%",0.2,0.5,"42.1%",0.6,2.1,"29.5%",0.2,0.2,"75.0%",0.2,0.9,1.1,0.5,0.1,0.1,0.2,0.1,1.3,0.2,1.1,0.4,"C/PF"
274,"笹倉 怜寿","A東京",33,2,474.1,14.4,2.4,0.8,3.1,"27.5%",0.5,1.6,"29.6%",0.4,1.5,"25.0%",0.3,0.5,"68.8%",0.2,1.2,1.4,1.5,1.0,0.2,0.0,0.1,1.8,0.9,1.2,0.2,"PG"
275,"太田 敦也","三遠",45,14,549.9,12.2,2.4,0.9,1.8,"52.5%",0.9,1.7,"53.8%",0.0,0.0,"0.0%",0.5,0.8,"67.6%",0.6,0.9,1.5,0.7,0.4,0.2,0.1,0.1,1.6,0.7,2.3,-3.0,"C"
276,"半澤 凌太","三遠",45,9,527.5,11.7,2.3,0.9,2.3,"40.2%",0.6,1.1,"52.9%",0.3,1.1,"27.5%",0.2,0.3,"53.8%",0.6,0.8,1.4,0.8,0.6,0.5,0.1,0.2,1.4,0.4,1.8,-4.6,"PG/SG"
277,"船生 誠也","広島",58,8,659.4,11.4,2.3,0.7,1.8,"38.7%",0.4,0.9,"51.0%",0.3,0.9,"27.3%",0.6,0.7,"83.3%",0.3,1.0,1.3,1.0,0.4,0.4,0.1,0.1,1.7,0.7,2.3,0.6,"SF"
278,"増田 啓介","川崎",56,6,544.9,9.7,2.2,0.9,2.0,"46.5%",0.8,1.4,"56.4%",0.2,0.6,"25.0%",0.2,0.3,"58.8%",0.3,0.8,1.1,0.6,0.5,0.5,0.0,0.2,1.1,0.6,2.1,0.0,"SF"
279,"森井 健太","横浜BC",60,10,1053.7,17.6,2.2,0.8,2.8,"26.8%",0.3,1.0,"32.8%",0.4,1.8,"23.6%",0.3,0.5,"60.7%",0.4,1.5,1.9,4.9,1.1,0.9,0.0,0.1,2.5,0.9,5.0,-0.9,"PG"
280,"松崎 裕樹","横浜BC",33,2,304.1,9.2,2.2,0.8,2.8,"27.7%",0.5,1.0,"45.5%",0.3,1.8,"18.0%",0.3,0.4,"75.0%",0.2,0.5,0.7,0.5,0.2,0.2,0.0,0.1,1.0,0.3,0.4,-0.2,"SG/SF"
281,"ジェイ・ワシントン","琉球",6,0,34.9,5.8,2.2,0.7,1.3,"50.0%",0.2,0.3,"50.0%",0.5,1.0,"50.0%",0.3,0.5,"66.7%",0.5,0.3,0.8,0.5,0.2,0.2,0.0,0.0,0.8,0.5,2.3,-1.7,""
282,"岡本 飛竜","A東京",30,6,331.2,11.0,2.1,0.7,2.6,"28.2%",0.1,0.8,"16.7%",0.6,1.8,"33.3%",0.1,0.2,"33.3%",0.4,0.6,0.9,0.8,0.4,0.1,0.0,0.0,1.7,0.5,0.4,0.2,"PG"
283,"北川 弘","島根",29,1,118.6,4.1,2.1,0.7,1.4,"50.0%",0.2,0.4,"53.8%",0.4,0.9,"48.1%",0.3,0.3,"88.9%",0.0,0.2,0.2,0.5,0.4,0.1,0.0,0.0,0.5,0.5,1.8,0.7,"PG"
284,"飴谷 由毅","富山",57,13,585.2,10.3,2.1,0.7,1.9,"38.2%",0.6,1.2,"49.3%",0.1,0.7,"19.5%",0.4,0.6,"75.8%",0.5,0.7,1.3,1.2,0.9,0.5,0.0,0.2,1.7,0.8,1.8,-1.6,"SG/SF"
285,"ブランドン・ジャワト","三河",44,2,358.0,8.1,2.0,0.7,1.8,"38.8%",0.4,1.0,"40.9%",0.3,0.8,"36.1%",0.3,0.5,"58.3%",0.2,0.8,1.0,0.3,0.3,0.2,0.1,0.1,1.0,0.5,1.4,0.0,"SF"
286,"湧川 颯斗","滋賀",23,1,202.2,8.8,2.0,0.8,1.7,"50.0%",0.6,1.1,"53.8%",0.2,0.5,"41.7%",0.1,0.3,"50.0%",0.6,0.7,1.3,0.5,0.5,0.5,0.1,0.2,1.6,0.4,1.5,-1.2,"PG"
287,"池田 雄一","新潟",43,7,525.2,12.2,2.0,0.6,1.8,"34.6%",0.1,0.3,"30.8%",0.5,1.5,"35.4%",0.2,0.2,"90.0%",0.2,0.7,0.9,0.4,0.3,0.2,0.1,0.0,0.9,0.5,1.6,-6.3,"SF"
288,"朝山 正悟","広島",52,0,390.1,7.5,1.9,0.6,1.5,"41.8%",0.3,0.4,"65.0%",0.4,1.1,"33.9%",0.3,0.3,"81.3%",0.1,0.4,0.5,0.2,0.2,0.1,0.0,0.0,0.7,0.3,1.3,1.2,"SG/SF"
