"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
123,"アキ・チェンバース","群馬",58,57,1521.6,26.2,7.9,2.9,7.5,"39.0%",1.8,3.5,"50.2%",1.2,4.0,"29.1%",0.9,1.3,"73.3%",0.6,2.1,2.7,2.2,1.2,1.3,0.1,0.2,2.5,1.6,7.0,0.9,"SF"
124,"カイル・コリンズワース","三遠",9,8,193.6,21.5,7.9,3.6,7.0,"50.8%",2.9,4.9,"59.1%",0.7,2.1,"31.6%",0.1,0.8,"14.3%",1.2,4.8,6.0,4.2,1.7,1.7,0.4,0.1,2.7,1.4,13.1,3.0,"PG"
125,"ジェイコブ・ワイリー","滋賀",7,5,191.8,27.4,7.9,3.7,7.3,"51.0%",3.6,6.9,"52.1%",0.1,0.4,"33.3%",0.3,1.1,"25.0%",1.7,4.1,5.9,2.0,1.9,1.3,0.9,0.3,2.1,1.6,10.7,-13.6,""
126,"橋本 竜馬","北海道",60,36,1474.0,24.6,7.8,2.6,6.8,"38.0%",1.4,3.0,"44.8%",1.3,3.8,"32.8%",1.4,1.6,"87.2%",0.2,1.3,1.5,3.9,1.1,0.8,0.0,0.3,2.3,1.8,7.8,-4.3,"PG"
127,"田中 大貴","A東京",14,11,305.6,21.8,7.6,3.1,7.6,"41.1%",2.3,5.1,"45.1%",0.9,2.6,"33.3%",0.5,0.6,"87.5%",0.2,1.0,1.2,2.9,1.9,0.6,0.1,0.1,1.8,0.7,4.8,4.2,"SG"
128,"森川 正明","横浜BC",50,15,958.4,19.2,7.6,2.6,7.0,"37.8%",1.0,2.0,"50.5%",1.6,5.0,"32.7%",0.7,0.9,"83.7%",0.1,1.2,1.4,0.9,0.7,0.4,0.1,0.2,1.4,0.8,4.4,0.2,"SF"
129,"小酒部 泰暉","A東京",40,19,883.4,22.1,7.6,3.0,7.3,"40.7%",2.1,4.4,"47.7%",0.9,2.9,"29.8%",0.9,1.2,"70.8%",0.4,1.1,1.5,2.5,1.3,0.7,0.0,0.2,2.2,1.4,5.4,1.7,"SG"
130,"サムソン・フローリング","北海道",22,4,440.7,20.0,7.6,3.2,5.7,"56.3%",3.0,5.4,"56.8%",0.2,0.4,"50.0%",1.0,1.6,"60.0%",2.4,4.6,7.0,1.1,1.3,0.5,0.3,0.5,1.1,1.5,11.9,-3.9,"C/PF"
131,"ウィリアム・モズリー","信州",24,22,592.8,24.7,7.5,2.8,4.5,"61.5%",2.8,4.5,"62.0%",0.0,0.0,"0.0%",1.9,3.3,"57.0%",2.1,3.9,6.0,1.4,1.0,1.2,1.1,0.3,2.8,3.5,13.6,1.7,"C"
132,"寺園 脩斗","北海道",60,24,1183.5,19.7,7.4,2.9,6.2,"46.2%",2.4,5.0,"48.7%",0.4,1.2,"35.7%",1.3,1.6,"84.9%",0.2,1.2,1.4,3.5,1.2,0.3,0.0,0.2,2.6,1.6,6.7,-3.1,"PG"
133,"長野 誠史","三河",59,39,1535.7,26.0,7.3,2.6,6.6,"38.9%",1.4,3.0,"47.2%",1.2,3.6,"31.9%",1.0,1.1,"88.1%",0.5,1.9,2.4,4.0,1.3,1.0,0.0,0.2,2.4,1.5,8.3,0.4,"PG"
134,"中村 功平","茨城",60,50,1231.6,20.5,7.2,2.5,6.1,"41.5%",1.1,2.3,"48.2%",1.4,3.8,"37.6%",0.7,1.0,"73.3%",0.4,1.1,1.5,1.8,0.7,0.6,0.1,0.2,2.0,1.2,5.7,0.9,"PG/SG"
135,"中野 司","北海道",56,34,1041.2,18.6,7.2,2.3,6.2,"37.6%",0.8,1.9,"43.1%",1.5,4.3,"35.1%",1.0,1.2,"84.8%",0.2,1.1,1.3,1.0,0.5,0.4,0.0,0.3,2.6,1.4,3.8,-3.9,"SG"
136,"テレンス・キング","滋賀",9,1,151.3,16.8,7.1,3.1,6.7,"46.7%",3.1,6.3,"49.1%",0.0,0.3,"0.0%",0.9,1.2,"72.7%",2.9,3.1,6.0,0.8,0.9,0.9,0.4,0.8,2.8,1.0,7.9,-6.2,""
137,"石井 講祐","SR渋谷",46,21,833.2,18.1,7.1,2.2,5.1,"42.8%",1.1,2.0,"55.3%",1.1,3.1,"34.5%",1.6,1.8,"87.1%",0.5,1.2,1.7,1.8,0.9,0.8,0.1,0.2,2.0,2.2,7.3,0.8,"SG"
138,"エペ・ウドゥ","京都",22,0,450.4,20.5,7.1,2.9,5.2,"55.3%",2.8,5.0,"56.4%",0.0,0.2,"25.0%",1.3,2.4,"53.8%",1.8,3.0,4.7,1.1,0.8,1.0,1.2,0.1,1.9,2.0,10.9,-2.9,"C/PF"
139,"青木 保憲","仙台",31,27,770.7,24.9,7.0,2.6,6.8,"38.4%",1.9,4.4,"42.3%",0.7,2.4,"31.1%",1.1,1.4,"76.7%",0.5,1.7,2.2,4.3,1.9,1.1,0.0,0.4,2.4,2.1,7.5,-1.3,"PG"
140,"津山 尚大","島根",60,13,1461.8,24.4,7.0,2.4,6.4,"38.0%",0.9,2.0,"43.6%",1.6,4.4,"35.5%",0.6,0.7,"77.3%",0.4,1.1,1.5,1.7,0.9,0.4,0.0,0.1,2.0,0.7,4.3,3.3,"PG/SG"
141,"ザック・バランスキー","A東京",60,26,1281.0,21.4,6.8,2.5,6.7,"37.2%",1.2,2.4,"49.7%",1.3,4.3,"30.1%",0.6,0.9,"67.3%",0.5,2.3,2.8,1.5,0.7,0.7,0.1,0.1,2.1,1.1,5.5,3.9,"SF/PF"
