"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021801175","171","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","9","27","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","57","61","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","483","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","9","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-144","214","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","502","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","8","16","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","15","-70","137","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","589","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","3","4","Made Shot","Turnaround Fadeaway Bank Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-56","39","1","1","20190403","POR","MEM"
"Shot Chart Detail","0021801175","596","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","2","5","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-32","27","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","618","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","19","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","2","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801187","242","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","6","34","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20190405","DAL","MEM"
"Shot Chart Detail","0021801225","128","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","1","3","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-195","147","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","181","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","11","5","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","0","117","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","187","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","10","26","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-18","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","203","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","8","55","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","475","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","11","27","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-65","58","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","507","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","8","56","Missed Shot","Running Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-139","230","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","590","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","2","53","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","5","1","1","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","612","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","1","1","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","10","84","1","1","20190410","MEM","GSW"
