TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
福岡,8,薦田 拓也,SF,58,54,1141:04:00,19:40,495,8.5,222,485,45.80%,27,76,35.50%,24,47,51.10%,35,100,135,2.3,82,1.4,49,23,1,12,70,48,7
東京Z,14,柏倉 哲平,PG,59,44,1702:13:00,28:51:00,494,8.4,167,455,36.70%,82,237,34.60%,78,102,76.50%,24,128,152,2.6,277,4.7,120,59,11,12,132,109,10
群馬,14,佐藤 文哉,PG/SG,60,39,1209:16:00,20:09,487,8.1,177,487,36.30%,109,301,36.20%,24,32,75.00%,21,77,98,1.6,44,0.7,48,41,0,9,94,37,5
東京Z,5,リッチモンド・ヴィルデ,C,49,36,1118:30:00,22:49,484,9.9,194,372,52.20%,2,9,22.20%,94,128,73.40%,127,323,450,9.2,42,0.9,84,24,9,28,154,132,15
青森,30,ラキーム・ジャクソン,SF,40,4,867:52:00,21:41,477,11.9,200,393,50.90%,14,45,31.10%,63,126,50.00%,84,148,232,5.8,114,2.9,61,39,14,22,88,132,14
広島,24,田中 成也,SG,60,58,1553:26:00,25:53:00,474,7.9,145,421,34.40%,93,295,31.50%,91,117,77.80%,35,137,172,2.9,95,1.6,72,35,11,6,84,116,7
秋田,17,中山 拓哉,PG/SG,56,44,1343:46:00,23:59,474,8.5,180,394,45.70%,19,60,31.70%,95,160,59.40%,93,149,242,4.3,211,3.8,80,115,6,28,133,136,12
群馬,0,小淵 雅,PG/SG,57,40,1359:51:00,23:51,469,8.2,177,402,44.00%,36,97,37.10%,79,94,84.00%,48,121,169,3,212,3.7,68,73,8,17,81,97,11
広島,11,北川 弘,PG,60,59,1571:35:00,26:11:00,468,7.8,163,453,36.00%,69,237,29.10%,73,93,78.50%,19,102,121,2,207,3.5,82,68,9,15,159,116,8
香川,31,アブドゥーラ・クウソー,C,60,2,882:21:00,14:42,462,7.7,162,343,47.20%,0,1,0.00%,138,192,71.90%,116,194,310,5.2,62,1,87,50,67,22,139,158,10
秋田,9,白濱 僚祐,SF,57,42,1125:05:00,19:44,457,8,180,414,43.50%,49,135,36.30%,48,86,55.80%,47,116,163,2.9,103,1.8,62,79,19,18,143,96,9
福岡,6,小林 大祐,SG,31,27,789:09:00,25:27:00,456,14.7,161,351,45.90%,71,171,41.50%,63,86,73.30%,22,56,78,2.5,95,3.1,45,39,2,11,51,75,13
福島,32,武藤 修平,PF,60,60,1427:19:00,23:47,452,7.5,166,390,42.60%,38,125,30.40%,82,121,67.80%,69,150,219,3.7,125,2.1,92,57,17,21,124,139,9
茨城,14,髙橋 祐二,PG,58,52,1735:38:00,29:55:00,449,7.7,164,392,41.80%,47,135,34.80%,74,108,68.50%,44,113,157,2.7,198,3.4,84,75,16,17,94,122,9
広島,42,ケビン・コッツァー,PF,43,14,904:48:00,21:02,440,10.2,194,337,57.60%,0,4,0.00%,52,87,59.80%,113,223,336,7.8,47,1.1,29,25,27,17,84,97,16
秋田,34,小野寺 祥太,SG,56,36,1073:22:00,19:10,437,7.8,149,361,41.30%,38,116,32.80%,101,155,65.20%,44,71,115,2.1,152,2.7,95,47,5,20,132,136,7
愛媛,42,コナー・クリフォード,C,56,23,654:44:00,11:41,436,7.8,187,307,60.90%,0,0,0.00%,62,94,66.00%,61,111,172,3.1,14,0.3,73,8,22,9,124,102,8
山形,1,中島 良史,PG/SG,60,53,1590:22:00,26:30:00,434,7.2,137,382,35.90%,42,147,28.60%,118,145,81.40%,56,123,179,3,158,2.6,93,49,5,16,125,121,8
FE名古屋,41,ギャレット・スタツ,C,27,20,663:42:00,24:34:00,427,15.8,167,315,53.00%,5,13,38.50%,88,119,73.90%,90,215,305,11.3,79,2.9,54,9,10,12,54,106,22
広島,7,坂田 央,SF,60,47,1142:35:00,19:02,426,7.1,167,383,43.60%,25,94,26.60%,67,105,63.80%,38,97,135,2.3,65,1.1,47,29,6,20,92,93,6
仙台,9,溝口 秀人,SG,59,39,1262:12:00,21:23,424,7.2,150,387,38.80%,78,206,37.90%,46,55,83.60%,24,92,116,2,77,1.3,61,41,1,11,110,55,6
金沢,7,井上 裕介,PF,57,56,1160:36:00,20:21,420,7.4,162,382,42.40%,50,134,37.30%,46,57,80.70%,39,139,178,3.1,77,1.4,40,36,23,10,109,69,8
青森,22,門馬 圭二郎,SG/SF,60,52,1463:11:00,24:23:00,416,6.9,138,334,41.30%,66,197,33.50%,74,88,84.10%,47,129,176,2.9,99,1.7,66,74,7,14,175,121,8
FE名古屋,26,神津 祥平,SF,53,24,813:46:00,15:21,412,7.8,151,306,49.30%,16,47,34.00%,94,123,76.40%,32,75,107,2,72,1.4,85,21,14,15,122,134,7
愛媛,16,笠原 太志,SG,58,58,1895:28:00,32:40:00,397,6.8,139,335,41.50%,59,163,36.20%,60,105,57.10%,43,273,316,5.4,207,3.6,117,72,19,13,141,109,11
FE名古屋,18,飛田 浩明,SG/SF,60,23,1267:11:00,21:07,395,6.6,133,347,38.30%,86,233,36.90%,43,67,64.20%,28,131,159,2.7,75,1.3,23,35,2,5,78,62,7
岩手,13,小原　良公,G,60,57,1336:45:00,22:16,395,6.6,148,383,38.60%,29,110,26.40%,70,90,77.80%,31,93,124,2.1,85,1.4,57,38,2,24,124,116,6
信州,10,三ツ井 利也,SF/PF,60,41,1096:11:00,18:16,391,6.5,128,330,38.80%,54,173,31.20%,81,99,81.80%,26,118,144,2.4,61,1,43,24,8,19,77,107,6
東京Z,35,高山 師門,PF,60,43,1147:23:00,19:07,388,6.5,148,343,43.10%,17,45,37.80%,75,100,75.00%,47,129,176,2.9,61,1,62,30,8,16,127,119,6
FE名古屋,11,杉本 慶,SG,60,40,1330:30:00,22:10,385,6.4,128,285,44.90%,39,112,34.80%,90,120,75.00%,36,140,176,2.9,188,3.1,75,74,12,10,140,121,10
東京Z,22,河相 智志,SG,60,22,1117:45:00,18:37,384,6.4,141,369,38.20%,64,182,35.20%,38,46,82.60%,15,78,93,1.6,80,1.3,66,38,2,11,90,54,5
福岡,5,山下 泰弘,PG,56,54,1340:33:00,23:56,380,6.8,136,332,41.00%,56,166,33.70%,52,68,76.50%,56,178,234,4.2,297,5.3,70,87,12,4,123,91,13
信州,5,武井 弘明,PG,58,51,1238:19:00,21:21,376,6.5,153,416,36.80%,43,172,25.00%,27,41,65.90%,36,92,128,2.2,100,1.7,75,57,12,13,77,48,6
香川,99,筑波 拓朗,SF,48,34,1290:35:00,26:53:00,375,7.8,135,343,39.40%,44,119,37.00%,61,86,70.90%,45,119,164,3.4,101,2.1,75,32,13,24,94,89,8
山形,37,河野 誠司,PG,58,54,1586:53:00,27:21:00,374,6.4,130,397,32.70%,75,223,33.60%,39,53,73.60%,29,77,106,1.8,213,3.7,75,42,0,16,121,108,7
